symbol,publishedDate,title,image,site,text,url
AMD,2025-06-10 19:34:35,"This is just the beginning of the comeback in semis, says Patrick Moorhead",https://images.financialmodelingprep.com/news/this-is-just-the-beginning-of-the-comeback-in-20250610.jpg,youtube.com,"Patrick Moorhead, Moorhead Insights and Strategy CEO and chief analyst, joins 'Closing Bell Overtime' to talk chip stocks and if the sector can keep running.",https://www.youtube.com/watch?v=W2q_M4_Zf18
AMD,2025-06-10 11:04:10,S&P 500 (NYSEARCA: SPY) Live: Broader Market Recaptures 6000 Level in Mixed Session,https://images.financialmodelingprep.com/news/sp-500-nysearca-spy-live-broader-market-recaptures-6000-20250610.jpg,https://247wallst.com,"Live Updates Live Coverage Has Ended Corporate America Turns Positive on Economy 12:52 pm by Gerelyn Terzo In Chief Executive Group&#8217;s latest poll, taken a week ago, under 30% of CEOs anticipate a mild or severe recession in H2 2025. This is a significant shift from April, when over 60% held that view, a time when tariffs had businesses more concerned. The SPY is now up 0.23%. Cooling Inflation 11:12 am by Gerelyn Terzo The New York Fed Survey of Consumer Expectations index indicated cooling inflation in May, dropping 0.4 percentage points from April to settle at 3.2%. This decline comes as the Trump administration made strides with U.S. trade partners. The SPY ETF is up 0.11% at last check. Bearish on MCD 10:30 am by Gerelyn Terzo Morgan Stanley has turned cautious on fast-food giant McDonald’s (NYSE: MCD), downgrading the stock to an “equal weight” rating from “overweight,&#8221; saying the company is vulnerable to “structural pressures on fast food.” The analyst lowered the price target on MCD to $324 per share, which still reflects upside potential. MCD stock is down 2% today to trade at $301 per share. This article will be updated throughout the day, so check back often for more daily updates. The S&amp;P 500 is trading back above the psychologically sensitive 6,000 level once again as the markets keep it together. U.S. and Chinese officials are expected to restart trade discussions in Europe today. Big Tech&#8217;s Apple (Nasdaq: AAPL) is gearing up for its developer conference, WWDC, today, featuring a keynote speech from CEO Tim Cook. The markets are awaiting any advancements on AI innovation. After starting the trading session higher out of the gate, the three major stock market averages have turned mixed. While the S&amp;P 500 and Nasdaq Composite are holding onto slight gains, the Dow Jones Industrial Average has turned modestly lower. The SPDR S&amp;P 500 ETF (SPY) is up 0.15%). Chip stocks are higher, including a 3.4% gain in Advanced Micro Devices (Nasdaq: AMD). Magnificent 7 stock Tesla (Nasdaq: TSLA) is under pressure, falling 3.9%. Analysts turned skeptical on the EV stock, citing distractions stemming from tensions between CEO Elon Musk and President Trump. On the economic front, key inflation data is anticipated mid-week with the release of the Consumer Price Index and Producer Price Index results for May. Here’s a look at the performance as of morning trading: Dow Jones Industrial Average: Down 117.74 (-0.28%) Nasdaq Composite: Up 86.85 (+0.42%) S&amp;P 500: Up 5.19 (+0.09%) Market Movers Meta Platforms (Nasdaq: META) is reportedly in talks to invest over $10 billion in AI startup Scale AI, per Bloomberg. Archer Aviation (NYSE: ACHR) is climbing 5% higher today as its piloted flight program picks up speed in both the U.S. and UAE. Quantum computing stock IonQ (NYSE: IONQ) advanced 3% after revealing a billion-dollar deal to acquire London-based Oxford Ionics. The post S&#038;P 500 (NYSEARCA: SPY) Live: Broader Market Recaptures 6000 Level in Mixed Session appeared first on 24/7 Wall St..",https://247wallst.com/investing/2025/06/09/sp-500-nysearca-spy-live-sp-500-recaptures-6000-level-in-mixed-session/
AMD,2025-06-10 09:37:28,AMD: Strong EPS Growth Momentum Can Improve Valuation Multiple,https://images.financialmodelingprep.com/news/amd-strong-eps-growth-momentum-can-improve-valuation-multiple-20250610.jpg,seekingalpha.com,"Advanced Micro Devices, Inc. is showing a strong growth trajectory in Data Center segment and specifically its AI chip sales which has not been fully priced in. In 2024, AMD reported $12.6 billion in Data Center revenue, up 94% YoY, and in fiscal 2025 the Data Center revenue could easily top $20 billion. AMD is playing for the second position in AI chip business behind Nvidia, but the investment return potential for AMD are much stronger as the revenue share of AI business.",https://seekingalpha.com/article/4793702-amd-strong-eps-growth-momentum-can-improve-valuation-multiple
AMD,2025-06-10 08:04:03,"NVDA, SCMI and AMD Forecast – Chip Stocks Somewhat Hesitant in the Early Hours on Tuesday",https://images.financialmodelingprep.com/news/nvda-scmi-and-amd-forecast-chip-stocks-somewhat-hesitant-20250610.jpg,fxempire.com,"The three chip stocks in this analysis all look positive overall, but it also looks like we are waiting for a catalyst to get going. It is perhaps the CPI numbers coming out on Wednesday that people are waiting for?",https://www.fxempire.com/forecasts/article/nvda-scmi-and-amd-forecast-chip-stocks-somewhat-hesitant-in-the-early-hours-on-tuesday-1524942
AMD,2025-06-10 08:01:00,Ashvattha Therapeutics to Present Phase 2 DME and Wet AMD Data at Clinical Trials at the Summit and MaculArt,https://images.financialmodelingprep.com/news/ashvattha-therapeutics-to-present-phase-2-dme-and-wet-20250610.jpg,globenewswire.com,"Ashvattha will present Phase 2 data on migaldendranib, a subcutaneous therapy for DME and wet AMD, which could offer a more patient-friendly alternative to current injection-based treatments",https://www.globenewswire.com/news-release/2025/06/10/3096597/0/en/Ashvattha-Therapeutics-to-Present-Phase-2-DME-and-Wet-AMD-Data-at-Clinical-Trials-at-the-Summit-and-MaculArt.html
AMD,2025-06-10 08:00:00,AMD: A Strong Candidate For A Collar Strategy,https://images.financialmodelingprep.com/news/amd-a-strong-candidate-for-a-collar-strategy-20250610.jpg,seekingalpha.com,"AMD stands out as a strong candidate for a collar strategy, offering solid fundamentals, technical momentum, and a compelling risk/reward setup in today's market. By using a collar (buying shares, selling a call, and buying a put), I can cap downside risk to about $6 per share while targeting $29 upside over 12 months. AMD's underperformance versus the Nasdaq and its attractive price trend make it a timely opportunity for risk-managed investors seeking exposure to quality tech.",https://seekingalpha.com/article/4793597-amd-a-strong-candidate-for-a-collar-strategy
AMD,2025-06-10 02:00:00,AMD EPYC Processors Now Power Nokia Cloud Infrastructure for Next-Gen Telecom Networks,https://images.financialmodelingprep.com/news/amd-epyc-processors-now-power-nokia-cloud-infrastructure-for-20250610.jpg,globenewswire.com,— Nokia Cloud Platform will use 5 th Gen AMD EPYC CPUs for leadership performance and energy efficiency across virtualization deployments —,https://www.globenewswire.com/news-release/2025/06/10/3096304/0/en/AMD-EPYC-Processors-Now-Power-Nokia-Cloud-Infrastructure-for-Next-Gen-Telecom-Networks.html
AMD,2025-06-09 20:20:29,Buy These AI Stocks Today,https://images.financialmodelingprep.com/news/buy-these-ai-stocks-today-20250609.jpg,investorplace.com,Do we need to fear fallout from the Trump/Musk feud?,https://investorplace.com/2025/06/buy-these-ai-stocks-today/
AMD,2025-06-09 09:17:51,"What Nvidia, AMD, Alphabet, and Meta Platform Stock Investors Should Know About Recent AI Updates",https://images.financialmodelingprep.com/news/what-nvidia-amd-alphabet-and-meta-platform-stock-investors-20250609.jpg,fool.com,"In today's video, I discuss recent updates affecting Nvidia (NVDA 1.12%) and other semiconductor companies. To learn more, check out the short video, consider subscribing, and click the special offer link below.",https://www.fool.com/investing/2025/06/09/what-nvidia-amd-alphabet-and-meta-platform-stock-i/
AMD,2025-06-09 03:55:00,AMD's Shopping Spree Continues. Is the AI Stock a Buy?,https://images.financialmodelingprep.com/news/amds-shopping-spree-continues-is-the-ai-stock-a-20250609.jpg,fool.com,AMD (AMD 0.46%) might be the biggest sleeper stock in the artificial intelligence (AI) chip business right now.,https://www.fool.com/investing/2025/06/09/amds-shopping-spree-continues-is-the-ai-stock-a-bu/
