date,score
2024-06-11,-0.0013555555555555573
2024-06-12,-0.141575
2024-06-14,0.7269
2024-06-16,0.4019
2024-06-24,0.0
2024-06-28,0.3818
2024-07-19,0.0
2024-07-21,0.0
2024-08-22,0.0
2024-08-26,0.0
2024-08-27,0.0
2024-09-03,0.3818
2024-09-04,0.3182
2024-09-05,0.0
2024-09-09,0.10115
2024-09-10,-0.008466666666666666
2024-09-11,-0.1531
2024-09-13,0.296
2024-09-23,0.5106
2024-09-25,0.5106
2024-09-27,0.5106
2024-10-15,-0.07655
2024-11-26,0.0
2024-12-03,0.05135
2024-12-04,0.19733333333333333
2024-12-06,0.0
2024-12-10,-0.085
2024-12-11,-0.1531
2024-12-12,0.5574
2024-12-14,0.0
2024-12-17,0.4215
2025-01-21,0.0
2025-01-28,0.743
2025-02-24,0.0
2025-03-04,0.0
2025-03-06,0.0
2025-03-07,0.0
2025-03-10,0.4767
2025-03-17,0.0
2025-03-20,0.0
2025-03-21,0.05135
2025-03-26,-0.34
2025-03-27,0.0
2025-03-31,0.05135
2025-04-08,0.4019
2025-04-10,0.4019
2025-05-23,0.5106
2025-05-27,0.0
2025-05-28,0.1531
2025-06-03,0.3182
2025-06-05,0.0
2025-06-06,0.0
2025-06-09,0.2023
2025-06-10,-0.12040000000000001
