date,score
2024-06-24,0.0
2024-07-08,0.2023
2024-08-05,0.0
2024-08-09,0.0
2024-08-14,0.0
2024-08-23,0.0
2024-08-28,-0.04146666666666666
2024-08-29,0.014999999999999994
2024-09-10,-0.1462
2024-09-12,0.3818
2024-09-17,0.2023
2024-09-24,0.26335
2024-09-25,0.0
2024-09-29,0.5994
2024-10-09,0.4019
2024-10-10,0.1779
2024-10-30,0.296
2024-11-08,-0.1673
2024-11-11,0.0
2024-11-12,0.0
2024-11-18,-0.4215
2024-11-20,0.0
2024-11-22,0.0
2024-11-25,0.22613333333333335
2024-11-26,0.27196000000000004
2024-11-27,-0.11315
2024-12-04,0.0
2024-12-05,0.43035
2024-12-16,0.0
2025-01-02,0.5719
2025-01-06,0.5106
2025-02-03,0.0
2025-02-04,0.0
2025-02-06,0.0
2025-02-07,0.0
2025-02-12,0.0
2025-02-13,0.0
2025-02-18,0.45930000000000004
2025-02-20,0.0
2025-02-24,0.0
2025-02-25,0.0
2025-02-26,0.0
2025-02-27,0.08647142857142856
2025-02-28,-0.4767
2025-03-04,0.0
2025-03-12,0.0258
2025-03-26,0.4927
2025-04-01,0.0
2025-04-07,-0.0772
2025-04-09,-0.0258
2025-04-14,0.1027
2025-04-21,0.5859
2025-04-22,0.3134
2025-05-08,0.0
2025-05-15,0.0
2025-05-16,0.0
2025-05-19,0.06472
2025-05-20,0.4019
2025-05-22,0.0
2025-05-26,0.0
2025-05-28,0.0
2025-05-29,0.08808
2025-05-30,0.1806
2025-06-03,-0.34
