symbol,publishedDate,title,image,site,text,url
BBWI,2025-06-03 17:27:26,Bath & Body Works: Still Too Many Uncertainties In The Business (Upgrade To Hold),https://images.financialmodelingprep.com/news/bath-body-works-still-too-many-uncertainties-in-the-20250603.jpg,seekingalpha.com,"I am shifting my rating from Sell to Hold as the new CEO could be a catalyst, but near-term business momentum remains weak. 1Q25 outperformance was driven by a one-off Disney collaboration, not a sustainable improvement in core demand or sales trends. Inventory levels are rising faster than sales, increasing risk of future markdowns and pressuring margins and earnings growth.",https://seekingalpha.com/article/4792132-bath-and-body-works-too-many-uncertainties-in-business-upgrade-hold
BBWI,2025-05-30 12:10:11,"Bath & Body Works Q1 Earnings Beat Estimates, Sales Rise Y/Y",https://images.financialmodelingprep.com/news/bath-body-works-q1-earnings-beat-estimates-sales-rise-20250530.jpg,zacks.com,"BBWI reports higher earnings and sales in the fiscal first quarter, boosted by product innovation and strong supply-chain performance.",https://www.zacks.com/stock/news/2479842/bath-body-works-q1-earnings-beat-estimates-sales-rise-y-y?cid=CS-STOCKNEWSAPI-FT-analyst_blog|earnings_article-2479842
BBWI,2025-05-30 10:24:13,Bath & Body Works is ready to go international after a bruising year saw its stock fall 40%,https://images.financialmodelingprep.com/news/bath-body-works-is-ready-to-go-international-after-20250530.jpg,businessinsider.com,"Bath & Body Works reported a strong quarter after a difficult year. New CEO Daniel Heaf, who took the reins 10 days ago, plans to expand the retailer's international presence.",https://www.businessinsider.com/bath-and-body-works-international-ceo-daniel-heaf-new-strategy-2025-5
BBWI,2025-05-29 11:27:41,"Bath & Body Works, Inc. (BBWI) Q1 2025 Earnings Call Transcript",https://images.financialmodelingprep.com/news/bath-body-works-inc-bbwi-q1-2025-earnings-call-20250529.jpg,seekingalpha.com,"Bath & Body Works, Inc. (NYSE:BBWI ) Q1 2025 Earnings Conference Call May 29, 2025 8:30 AM ET Company Participants Luke Long - Vice President, Investor Relations Daniel Heaf - Chief Executive Officer Eva Boratto - Chief Financial Officer Conference Call Participants Simeon Siegel - BMO Capital Markets Matthew Boss - J.P. Morgan Lorraine Hutchinson - Bank of America Alex Straton - Morgan Stanley Ike Boruchow - Wells Fargo Jonna Kim - TD Cowen Kate McShane - Goldman Sachs Olivia Tong - Raymond James Korinne Wolfmeyer - Piper Sandler Sydney Wagner - Jefferies Dana Telsey - Telsey Advisory Group Operator Good morning.",https://seekingalpha.com/article/4790912-bath-and-body-works-inc-bbwi-q1-2025-earnings-call-transcript
BBWI,2025-05-29 10:36:32,Bath & Body Works (BBWI) Q1 Earnings: Taking a Look at Key Metrics Versus Estimates,https://images.financialmodelingprep.com/news/bath-body-works-bbwi-q1-earnings-taking-a-look-20250529.jpg,zacks.com,"Although the revenue and EPS for Bath & Body Works (BBWI) give a sense of how its business performed in the quarter ended April 2025, it might be worth considering how some key metrics compare with Wall Street estimates and the year-ago numbers.",https://www.zacks.com/stock/news/2478825/bath-body-works-bbwi-q1-earnings-taking-a-look-at-key-metrics-versus-estimates?cid=CS-STOCKNEWSAPI-FT-fundamental_analysis|nfm-2478825
BBWI,2025-05-29 09:05:21,Bath & Body Works (BBWI) Q1 Earnings Surpass Estimates,https://images.financialmodelingprep.com/news/bath-body-works-bbwi-q1-earnings-surpass-estimates-20250529.jpg,zacks.com,"Bath & Body Works (BBWI) came out with quarterly earnings of $0.49 per share, beating the Zacks Consensus Estimate of $0.47 per share. This compares to earnings of $0.38 per share a year ago.",https://www.zacks.com/stock/news/2478678/bath-body-works-bbwi-q1-earnings-surpass-estimates?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_4-2478678
BBWI,2025-05-29 08:47:46,Bath & Body Works beats quarterly profit estimates on minimal tariff exposure,https://images.financialmodelingprep.com/news/bath-body-works-beats-quarterly-profit-estimates-on-minimal-20250529.jpg,reuters.com,"Bath & Body Works on Thursday beat first-quarter profit estimates as steady demand for its fragrances and personal care products, combined with its limited exposure to import tariffs, helped counter broader pressures in the U.S. retail sector.",https://www.reuters.com/business/retail-consumer/bath-body-works-beats-quarterly-profit-estimates-minimal-tariff-exposure-2025-05-29/
BBWI,2025-05-29 06:55:00,Bath & Body Works Reports 2025 First Quarter Results and Maintains Fiscal Year 2025 Guidance,https://images.financialmodelingprep.com/news/bath-body-works-reports-2025-first-quarter-results-and-maintains-20250529.jpg,globenewswire.com,"First quarter net sales up 3% to $1.4 billion, at the high end of the guidance range, and earnings per diluted share up 29% to $0.49, exceeding the high end of the guidance range Net sales performance driven by compelling innovation  Company maintains 2025 net sales guidance of 1% to 3% growth and earnings per diluted share guidance of $3.25 to $3.60, inclusive of current tariff rates COLUMBUS, Ohio, May 29, 2025 (GLOBE NEWSWIRE) -- Bath & Body Works, Inc. (NYSE: BBWI) today reported first quarter 2025 results. “Our team delivered a strong start to the year driven by the positive customer response to our innovation in the quarter.",https://www.globenewswire.com/news-release/2025/05/29/3090151/0/en/Bath-Body-Works-Reports-2025-First-Quarter-Results-and-Maintains-Fiscal-Year-2025-Guidance.html
BBWI,2025-05-28 06:05:03,Will Bath & Body Works Stock Soar After Earnings?,https://images.financialmodelingprep.com/news/will-bath-body-works-stock-soar-after-earnings-20250528.jpg,forbes.com,"Bath & Body Works stock (NYSE: BBWI) is set to announce its fiscal first-quarter earnings on Thursday, May 29, 2025, with analysts estimating earnings of 47 cents per share on revenue of $1.42 billion. This would indicate a 21% increase in earnings year-over-year and a 3% rise in sales when compared to the previous year's figures of 39 cents per share and $1.38 billion in revenue.",https://www.forbes.com/sites/greatspeculations/2025/05/28/will-bath--body-works-stock-soar-after-earnings/
BBWI,2025-05-26 10:15:22,Seeking Clues to Bath & Body Works (BBWI) Q1 Earnings? A Peek Into Wall Street Projections for Key Metrics,https://images.financialmodelingprep.com/news/seeking-clues-to-bath-body-works-bbwi-q1-earnings-20250526.jpg,zacks.com,"Beyond analysts' top -and-bottom-line estimates for Bath & Body Works (BBWI), evaluate projections for some of its key metrics to gain a better insight into how the business might have performed for the quarter ended April 2025.",https://www.zacks.com/stock/news/2477076/seeking-clues-to-bath-body-works-bbwi-q1-earnings-a-peek-into-wall-street-projections-for-key-metrics?cid=CS-STOCKNEWSAPI-FT-fundamental_analysis|nfm_preview-2477076
