symbol,publishedDate,title,image,site,text,url
BBW,2025-06-05 07:45:00,Build-A-Bear: Latest Earnings Rally Could Be Just The Beginning,https://images.financialmodelingprep.com/news/buildabear-latest-earnings-rally-could-be-just-the-beginning-20250605.jpg,seekingalpha.com,"Build-A-Bear's Q1 delivered record profitability and double-digit growth, driven by strategic expansion and strong execution despite a challenging economic backdrop. The company boasts a debt-free balance sheet, robust cash reserves, and continues aggressive international expansion, particularly in high-traffic tourist destinations. Shareholder returns remain a priority, with ongoing buybacks and dividend increases expected to drive further share price appreciation.",https://seekingalpha.com/article/4791983-build-a-bear-latest-earnings-rally-could-be-just-beginning
BBW,2025-05-29 13:43:10,"Build-A-Bear Workshop, Inc. (BBW) Q1 2025 Earnings Call Transcript",https://images.financialmodelingprep.com/news/buildabear-workshop-inc-bbw-q1-2025-earnings-call-transcript-20250529.jpg,seekingalpha.com,"Build-A-Bear Workshop, Inc. (NYSE:BBW ) Q1 2025 Earnings Conference Call May 29, 2025 9:00 AM ET Company Participants Gary Schnierow - Vice President, Investor Relations and Corporate Finance Sharon Price John - President and Chief Executive Officer Christopher Hurt - Chief Operations and Experience Officer Voin Todorovic - Chief Financial Officer Conference Call Participants Eric Beder - Small Cap Consumer Research, LLC Keegan Cox - D.A. Davidson & Co. Greg Gibas - Northland Securities, Inc. Steve Silver - Argus Research Operator Greetings, and welcome to the Build-A-Bear Workshop First Quarter 2025 Earnings Conference Call.",https://seekingalpha.com/article/4790972-build-a-bear-workshop-inc-bbw-q1-2025-earnings-call-transcript
BBW,2025-05-29 08:55:16,Build-A-Bear (BBW) Tops Q1 Earnings and Revenue Estimates,https://images.financialmodelingprep.com/news/buildabear-bbw-tops-q1-earnings-and-revenue-estimates-20250529.jpg,zacks.com,"Build-A-Bear (BBW) came out with quarterly earnings of $1.17 per share, beating the Zacks Consensus Estimate of $0.86 per share. This compares to earnings of $0.82 per share a year ago.",https://www.zacks.com/stock/news/2478671/build-a-bear-bbw-tops-q1-earnings-and-revenue-estimates?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_4-2478671
BBW,2025-05-29 07:15:00,Build-A-Bear Workshop to Participate in Upcoming Investor Conferences,https://images.financialmodelingprep.com/news/buildabear-workshop-to-participate-in-upcoming-investor-conferences-20250529.jpg,businesswire.com,"ST. LOUIS--(BUSINESS WIRE)--Build-A-Bear Workshop, Inc. (NYSE: BBW) today announced the Company will host investor meetings at the following investor conferences: NYSE Virtual Investor Access Day – Thursday, June 5, 2025 DADCO Consumer & Technology Conference – Tuesday, June 10, 2025, in Nashville, Tennessee Evercore Consumer & Retail Conference – Wednesday, June 11, 2025, in New York City Northland Virtual Growth Conference – Wednesday, June 25, 2025 About Build-A-Bear Since its beginn.",https://www.businesswire.com/news/home/20250529832326/en/Build-A-Bear-Workshop-to-Participate-in-Upcoming-Investor-Conferences/
BBW,2025-05-29 06:45:00,Build-A-Bear Workshop Reports Record-Breaking First Quarter Fiscal 2025 Results,https://images.financialmodelingprep.com/news/buildabear-workshop-reports-recordbreaking-first-quarter-fiscal-2025-results-20250529.jpg,businesswire.com,"ST. LOUIS--(BUSINESS WIRE)--Build-A-Bear Workshop, Inc. (NYSE: BBW) today announced results for the first quarter of fiscal year 2025 ended May 3, 2025. Total revenues were a first-quarter record $128.4 million, an increase of 11.9%, pre-tax income was a first-quarter record $19.6 million, an increase of 30.6%, and diluted earnings per share was a first-quarter record $1.17, an increase of 42.7% For the first quarter of 2025, the Company returned $7.1 million to shareholders through share repur.",https://www.businesswire.com/news/home/20250529683391/en/Build-A-Bear-Workshop-Reports-Record-Breaking-First-Quarter-Fiscal-2025-Results/
BBW,2025-05-22 11:06:29,Build-A-Bear (BBW) Earnings Expected to Grow: Should You Buy?,https://images.financialmodelingprep.com/news/buildabear-bbw-earnings-expected-to-grow-should-you-buy-20250522.jpg,zacks.com,Build-A-Bear (BBW) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,https://www.zacks.com/stock/news/2476064/build-a-bear-bbw-earnings-expected-to-grow-should-you-buy?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_9-2476064
BBW,2025-05-19 13:11:08,Why Build-A-Bear (BBW) is Poised to Beat Earnings Estimates Again,https://images.financialmodelingprep.com/news/why-buildabear-bbw-is-poised-to-beat-earnings-estimates-20250519.jpg,zacks.com,Build-A-Bear (BBW) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,https://www.zacks.com/stock/news/2474216/why-build-a-bear-bbw-is-poised-to-beat-earnings-estimates-again?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_7-2474216
BBW,2025-05-17 01:38:20,Build-A-Bear: A Great Toy Specialty Store Company To Own Even With Headwinds From Tariffs,https://images.financialmodelingprep.com/news/buildabear-a-great-toy-specialty-store-company-to-own-20250517.jpg,seekingalpha.com,"Build-A-Bear has differentiated itself by selling an experience instead of just a product, resulting in high profitability and return on capital. The company's conservative capital structure is necessary due to its lack of track record demonstrating consistent and predictable revenue and profitability. Additionally, a conservative capital structure provides a cushion against uncertainties due to geopolitics.",https://seekingalpha.com/article/4787780-build-a-bear-a-great-toy-specialty-store-company-to-own-even-with-headwinds-from-tariffs
BBW,2025-05-15 16:05:00,"Build-A-Bear Workshop to Announce First Quarter Fiscal 2025 Results and Host Investor Conference Call on May 29, 2025",https://images.financialmodelingprep.com/news/buildabear-workshop-to-announce-first-quarter-fiscal-2025-results-20250515.jpg,businesswire.com,"ST. LOUIS--(BUSINESS WIRE)--Build-A-Bear Workshop, Inc. (NYSE: BBW) today announced that the Company will report first-quarter fiscal 2025 results for the period ended May 3, 2025, on Thursday, May 29, 2025, before the opening of trading on the New York Stock Exchange. The Company will host its quarterly investor conference call to discuss the results at 9 a.m. ET on the same day. The dial-in number for the live conference call is (201) 493-6780 (toll/international) or (877) 407-3982 (toll-free.",https://www.businesswire.com/news/home/20250515300807/en/Build-A-Bear-Workshop-to-Announce-First-Quarter-Fiscal-2025-Results-and-Host-Investor-Conference-Call-on-May-29-2025/
BBW,2025-05-01 10:46:24,Is BuildABear Workshop (BBW) Stock Undervalued Right Now?,https://images.financialmodelingprep.com/news/is-buildabear-workshop-bbw-stock-undervalued-right-now-20250501.jpg,zacks.com,"Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.",https://www.zacks.com/stock/news/2460087/is-buildabear-workshop-bbw-stock-undervalued-right-now?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_2-2460087
