date,score
2024-06-12,0.0
2024-06-14,0.0
2024-06-16,0.5267
2024-06-17,0.0
2024-06-20,0.2023
2024-06-21,0.0
2024-06-22,0.0
2024-06-24,-0.1366
2024-06-25,0.4588
2024-07-02,0.296
2024-07-04,0.4215
2024-07-06,0.34
2024-07-10,0.0
2024-07-12,0.5994
2024-07-13,0.5267
2024-07-18,0.34
2024-07-22,0.25529999999999997
2024-07-23,0.0
2024-07-30,0.26335
2024-08-02,0.0
2024-08-03,0.27115
2024-08-05,0.0
2024-08-06,0.0
2024-08-07,0.34
2024-08-08,0.5568
2024-08-13,0.3182
2024-08-14,-0.33035000000000003
2024-08-15,0.0
2024-08-18,0.5267
2024-08-20,-0.6369
2024-08-22,0.24695
2024-08-27,0.3182
2024-08-28,0.0
2024-08-29,0.0
2024-08-30,0.0
2024-09-04,0.05772
2024-09-05,0.17
2024-09-07,0.34
2024-09-10,0.5106
2024-09-11,0.3818
2024-09-16,-0.34
2024-09-17,0.4939
2024-09-21,0.5267
2024-09-23,0.5267
2024-09-25,0.2716
2024-09-26,0.25895
2024-09-27,0.1779
2024-10-01,-0.025733333333333334
2024-10-03,0.20095
2024-10-04,0.2997
2024-10-05,0.34
2024-10-08,0.3454
2024-10-09,0.7096
2024-10-14,-0.3875
2024-10-16,0.128
2024-10-17,0.0
2024-10-23,0.1358
2024-10-25,0.3818
2024-10-29,0.0
2024-10-31,0.6249
2024-11-04,0.0
2024-11-06,0.4019
2024-11-09,0.34
2024-11-12,0.5103
2024-11-14,0.2732
2024-11-18,0.0
2024-11-19,0.2139875
2024-11-21,0.28636666666666666
2024-11-22,0.0
2024-11-25,0.0
2024-11-26,0.2503
2024-11-27,0.59055
2024-11-28,0.5859
2024-11-29,0.69555
2024-12-02,0.24695
2024-12-07,0.34
2024-12-12,0.6808
2024-12-15,0.4588
2024-12-18,0.4588
2024-12-21,0.5267
2024-12-22,0.6249
2024-12-24,0.2202
2024-12-26,0.0
2024-12-27,0.0
2024-12-29,0.4404
2024-12-30,0.5859
2025-01-02,0.4404
2025-01-03,0.28595
2025-01-04,0.34
2025-01-05,0.4404
2025-01-08,0.6249
2025-01-10,0.0
2025-01-12,0.4404
2025-01-15,0.4404
2025-01-17,-0.1531
2025-01-18,0.2023
2025-01-19,0.6249
2025-01-21,0.34
2025-01-22,0.33335000000000004
2025-01-24,0.0
2025-01-26,0.4404
2025-01-29,0.6486
2025-01-30,0.0
2025-02-01,0.34
2025-02-03,0.0
2025-02-05,-0.25
2025-02-06,0.0
2025-02-10,0.0
2025-02-11,0.0
2025-02-14,0.6759999999999999
2025-02-15,0.2023
2025-02-17,0.5811
2025-02-19,0.0
2025-02-24,0.2716
2025-02-25,0.3182
2025-03-01,0.34
2025-03-03,0.6486
2025-03-04,0.28363333333333335
2025-03-06,0.0
2025-03-07,0.4047
2025-03-09,0.0
2025-03-10,0.2023
2025-03-11,-0.01448571428571428
2025-03-12,0.26335
2025-03-14,-0.6808
2025-03-18,0.0
2025-03-19,0.0
2025-03-20,0.0
2025-03-21,0.0
2025-03-24,0.0
2025-03-31,-0.2732
2025-04-02,-0.128
2025-04-04,-0.3818
2025-04-05,0.34
2025-04-10,0.0
2025-04-15,0.0
2025-04-16,0.11865
2025-04-23,0.0
2025-04-28,0.2732
2025-04-29,0.0
2025-05-01,0.0
2025-05-02,0.2023
2025-05-03,0.2023
2025-05-06,0.0
2025-05-07,0.3517
2025-05-13,0.0
2025-05-14,0.0
2025-05-15,0.16903749999999998
2025-05-16,0.0813142857142857
2025-05-19,0.43335
2025-05-21,0.0
2025-05-22,0.6908
2025-05-23,0.0
2025-05-26,0.0
2025-05-27,0.0
2025-05-28,0.18156666666666668
2025-05-29,-0.22261999999999998
2025-05-30,0.0
2025-06-02,0.2023
2025-06-03,0.2023
2025-06-06,0.2263
2025-06-07,0.6369
2025-06-09,0.2202
2025-06-10,0.3359
