date,score
2024-06-11,0.5106
2024-06-12,0.4939
2024-06-26,0.0
2024-06-28,0.29596666666666666
2024-07-02,0.0
2024-07-05,-0.012749999999999984
2024-07-09,0.0
2024-07-10,-0.09106666666666667
2024-07-12,-0.3182
2024-07-15,0.6124
2024-07-16,0.3818
2024-07-23,-0.06124
2024-08-03,0.2023
2024-08-06,0.11315
2024-08-08,0.0
2024-08-09,0.0
2024-08-15,0.0
2024-08-19,0.0
2024-08-20,0.0
2024-08-22,-0.0386
2024-09-10,0.0
2024-09-11,0.1139
2024-09-12,0.0
2024-09-16,0.0
2024-09-20,0.5859
2024-09-30,0.6808
2024-10-01,0.0
2024-10-05,0.25
2024-10-08,0.0
2024-10-09,0.0
2024-10-11,0.0
2024-10-15,0.0
2024-10-17,0.0
2024-10-22,-0.097575
2024-10-23,0.08895
2024-10-24,0.06357499999999999
2024-10-28,0.0
2024-10-29,0.31845
2024-11-03,0.2023
2024-11-09,0.2023
2024-11-19,0.0
2024-12-01,0.2023
2024-12-03,0.24695
2024-12-12,0.9371
2024-12-13,-0.3818
2024-12-16,-0.3818
2024-12-17,0.2808
2024-12-18,-0.6597
2024-12-19,0.0
2024-12-20,-0.3818
2024-12-23,-0.296
2024-12-26,-0.3182
2024-12-27,-0.4708
2024-12-30,-0.6597
2024-12-31,-0.7184
2025-01-01,0.2023
2025-01-02,-0.7717
2025-01-03,0.0
2025-01-06,-0.4708
2025-01-07,-0.3182
2025-01-08,-0.6597
2025-01-09,-0.3818
2025-01-10,0.0
2025-01-13,-0.3818
2025-01-15,0.0
2025-01-20,0.0
2025-01-21,-0.4708
2025-01-22,0.1613
2025-01-23,0.0
2025-01-24,0.0
2025-01-25,0.765
2025-01-27,-0.4019
2025-01-28,-0.1909
2025-01-29,-0.4019
2025-01-30,-0.4019
2025-01-31,-0.3182
2025-02-04,0.0
2025-02-11,0.0
2025-02-13,0.0
2025-02-18,0.01358750000000001
2025-02-19,0.0
2025-02-20,0.0
2025-02-22,0.0
2025-02-23,0.4404
2025-02-24,0.0
2025-02-26,0.2553
2025-02-27,0.31845
2025-03-20,0.0
2025-03-21,0.5106
2025-03-30,0.4609
2025-03-31,0.6369
2025-04-01,0.06743333333333333
2025-04-09,0.7783
2025-04-13,0.0
2025-04-17,0.4767
2025-04-18,0.0
2025-04-22,0.0
2025-04-23,0.009450000000000014
2025-04-28,0.5994
2025-04-29,0.08895
2025-05-13,0.1139
2025-05-20,0.4215
2025-05-22,0.0
2025-05-24,0.5106
2025-06-04,0.0
2025-06-09,0.0
