date,score
2024-06-12,0.6361
2024-06-16,0.0
2024-06-18,0.7906
2024-06-20,0.0
2024-06-27,-0.1366
2024-06-30,0.5267
2024-07-01,-0.4019
2024-07-02,0.4466
2024-07-03,0.4466
2024-07-05,0.0
2024-07-09,0.1205
2024-07-10,-0.13906666666666667
2024-07-11,0.0
2024-07-12,0.03423333333333333
2024-07-13,0.296
2024-07-15,0.1847
2024-07-16,-0.0772
2024-07-17,-0.0772
2024-07-18,0.09145
2024-07-19,0.3018
2024-07-22,0.0
2024-07-23,0.0
2024-07-24,0.3818
2024-07-29,0.0
2024-07-30,0.0
2024-07-31,0.5574
2024-08-01,0.3182
2024-08-12,-0.2732
2024-08-28,0.0
2024-08-29,0.1779
2024-09-06,0.0
2024-09-09,0.1027
2024-09-10,0.3182
2024-09-11,0.296
2024-09-17,0.11333333333333334
2024-09-19,0.08895
2024-09-20,0.34
2024-09-23,-0.1779
2024-09-25,0.0
2024-09-26,0.7506
2024-10-04,0.34
2024-10-08,0.2202
2024-10-09,0.3291
2024-10-10,0.0
2024-10-17,0.1774
2024-10-18,0.5106
2024-10-22,0.0
2024-10-23,0.6322
2024-10-24,0.0
2024-10-29,0.5994
2024-10-30,0.4019
2024-11-05,0.4088
2024-11-13,0.4404
2024-12-04,0.0
2024-12-12,0.5859
2024-12-13,0.3182
2024-12-17,0.9081
2024-12-18,0.34
2024-12-19,0.0
2024-12-28,0.2846
2025-01-06,0.0
2025-01-10,-0.34
2025-01-16,0.168
2025-01-17,0.0
2025-01-18,0.4588
2025-01-19,-0.765
2025-01-21,0.5104500000000001
2025-01-23,0.0
2025-01-27,0.3818
2025-01-28,0.0
2025-01-29,0.0
2025-02-18,0.3818
2025-02-26,0.6808
2025-03-11,0.5563
2025-03-12,0.0
2025-03-14,-0.1531
2025-03-25,0.6369
2025-03-27,0.3818
2025-03-31,0.2137
2025-04-02,0.7906
2025-04-09,0.1779
2025-04-10,0.0
2025-04-14,0.0
2025-04-17,-0.0046666666666666645
2025-04-29,0.39185
2025-04-30,0.0
2025-05-02,0.0
2025-05-07,0.4404
2025-05-08,0.4019
2025-05-13,0.0
2025-05-15,0.128
2025-05-19,0.8122
2025-05-21,0.0
2025-05-27,0.0
2025-05-28,0.0
2025-05-29,0.0
2025-05-30,0.0
2025-06-04,0.8591
2025-06-05,0.6369
2025-06-09,0.5267
