date,score
2024-06-11,0.24523999999999999
2024-06-17,0.0
2024-06-19,0.0
2024-06-20,0.25095
2024-06-23,0.2023
2024-06-24,0.1779
2024-06-25,-0.008633333333333345
2024-06-27,0.7351
2024-06-28,0.5574
2024-06-30,0.0
2024-07-03,-0.4278
2024-07-04,0.0
2024-07-05,-0.0258
2024-07-09,0.0
2024-07-11,-0.06745000000000001
2024-07-12,-0.2342
2024-07-16,0.0
2024-07-18,-0.08589999999999999
2024-07-20,0.4767
2024-07-21,0.38915
2024-07-22,0.0
2024-07-23,0.14755000000000001
2024-07-24,0.4019
2024-07-25,-0.4278
2024-07-27,0.5719
2024-07-29,0.0
2024-07-31,-0.4278
2024-08-01,0.0
2024-08-02,0.3818
2024-08-06,-0.4278
2024-08-07,-0.2139
2024-08-08,0.1779
2024-08-12,-0.4278
2024-08-13,-0.2139
2024-08-14,-0.1171
2024-08-15,-0.4278
2024-08-16,-0.3182
2024-08-18,-0.07655
2024-08-19,0.13585000000000003
2024-08-20,-0.13739
2024-08-21,0.0
2024-08-26,0.0
2024-08-27,0.0
2024-08-29,-0.1426
2024-08-30,0.0
2024-09-01,0.0
2024-09-03,0.4588
2024-09-05,0.1409
2024-09-06,0.0
2024-09-10,0.5688
2024-09-11,-0.4278
2024-09-12,0.7351
2024-09-19,-0.3221
2024-09-20,0.128
2024-09-24,0.10385999999999998
2024-09-25,-0.4278
2024-09-26,0.5904
2024-09-30,0.579475
2024-10-01,-0.2139
2024-10-03,0.0
2024-10-08,-0.4278
2024-10-09,0.0
2024-10-10,0.0688
2024-10-11,0.35015
2024-10-15,0.17215
2024-10-22,0.0344
2024-10-29,-0.1111
2024-10-30,0.4019
2024-10-31,0.0173
2024-11-02,0.6369
2024-11-04,0.19735
2024-11-06,-0.2139
2024-11-07,-0.2103
2024-11-08,0.2202
2024-11-11,-0.4278
2024-11-12,-0.1426
2024-11-13,0.0
2024-11-14,-0.1426
2024-11-15,0.0
2024-11-17,-0.26335
2024-11-18,-0.08765
2024-11-19,0.02248235294117647
2024-11-21,-0.045524999999999996
2024-11-25,0.15284999999999999
2024-11-27,-0.4278
2024-11-29,0.0
2024-12-01,0.0
2024-12-02,0.2294
2024-12-04,0.0
2024-12-08,0.296
2024-12-10,0.0
2024-12-11,0.24967499999999998
2024-12-12,0.31445
2024-12-16,0.6369
2024-12-17,0.4215
2024-12-18,0.7269
2024-12-19,0.5106
2024-12-23,0.296
2024-12-25,-0.4278
2024-12-30,0.20095
2025-01-03,-0.2303
2025-01-07,0.10115
2025-01-08,0.7783
2025-01-09,0.0688
2025-01-14,0.28200000000000003
2025-01-16,-0.4278
2025-01-23,0.07743333333333334
2025-01-24,-0.4278
2025-01-27,0.0
2025-01-30,-0.4278
2025-02-03,-0.16255
2025-02-04,-0.2263
2025-02-05,-0.1795
2025-02-07,-0.08360000000000001
2025-02-18,0.8402
2025-02-19,0.1806
2025-02-21,-0.033299999999999996
2025-02-24,0.0
2025-02-25,0.19783333333333333
2025-02-26,0.012227777777777773
2025-02-27,0.38906666666666667
2025-02-28,0.5264
2025-03-05,0.08483333333333332
2025-03-10,0.5948
2025-03-12,0.0
2025-03-17,0.0
2025-03-18,0.22779999999999997
2025-03-21,0.2553
2025-03-24,-0.4278
2025-03-26,-0.4278
2025-03-27,0.4019
2025-03-31,0.4739
2025-04-01,-0.4278
2025-04-02,0.7778
2025-04-03,0.4215
2025-04-05,0.2023
2025-04-11,0.0
2025-04-14,0.042771428571428564
2025-04-16,-0.05135
2025-04-17,0.57955
2025-04-22,0.3243
2025-04-23,0.0063
2025-04-25,0.1569
2025-04-28,0.41095
2025-04-30,-0.1363
2025-05-02,-0.4278
2025-05-05,0.0
2025-05-06,-0.765
2025-05-07,-0.033299999999999996
2025-05-08,0.25
2025-05-09,0.5106
2025-05-12,0.8687
2025-05-13,-0.6663
2025-05-14,-0.1426
2025-05-15,0.4404
2025-05-16,-0.2139
2025-05-18,0.0
2025-05-19,0.030899999999999993
2025-05-20,0.0
2025-05-21,-0.03138571428571429
2025-05-23,0.6249
2025-05-25,-0.34
2025-05-26,-0.3818
2025-05-28,-0.4278
2025-05-30,0.7154
2025-06-01,0.3612
2025-06-02,0.32985
2025-06-03,0.4588
2025-06-04,0.15293333333333334
2025-06-09,-0.2139
2025-06-10,0.7003
