symbol,publishedDate,title,image,site,text,url
SBH,2025-06-02 11:05:20,Top Beauty and Cosmetics Stocks That Could Be in Your Portfolio,https://images.financialmodelingprep.com/news/top-beauty-and-cosmetics-stocks-that-could-be-in-20250602.jpg,zacks.com,"Leading companies like COTY, ULTA and SBH are tapping tech, innovation and shifting trends to stay ahead in the fast-evolving beauty market.",https://www.zacks.com/stock/news/2480333/top-beauty-and-cosmetics-stocks-that-could-be-in-your-portfolio?cid=CS-STOCKNEWSAPI-FT-beauty_&_cosmetics-2480333
SBH,2025-05-29 09:03:00,Sally Beauty Invests in Nails as Strategic Growth Category with New Innovation in Time For National Nail Week,https://images.financialmodelingprep.com/news/sally-beauty-invests-in-nails-as-strategic-growth-category-20250529.jpg,prnewswire.com,"The Beauty Retailer Sharpens Focus on Nail Innovation, Accessibility, and Self-Expression to Attract and Retain the Next Generation of Beauty Shoppers DENTON, Texas , May 29, 2025 /PRNewswire/ -- Sally Beauty, the leading destination for professional-quality nail products, is expanding its assortment just in time for National Nail Week (June 1–6). With a curated selection that is growing to over 1,400 nail products—including classic polish, long-lasting gel, dip powders, press-ons, and more—Sally Beauty is investing in the future of nails, delivering trend-driven innovation that balances creativity, affordability, and ease for nail enthusiasts at all levels.",https://www.prnewswire.com/news-releases/sally-beauty-invests-in-nails-as-strategic-growth-category-with-new-innovation-in-time-for-national-nail-week-302467658.html
SBH,2025-05-12 17:37:37,"Sally Beauty Holdings: Shares Surge, With Room To Run",https://images.financialmodelingprep.com/news/sally-beauty-holdings-shares-surge-with-room-to-run-20250512.jpg,seekingalpha.com,"We hold a house position in Sally Beauty Holdings, Inc., a long-term investment with a strategy of taking profits while leaving a portion invested for future growth. Despite softer-than-expected Q2 sales, SBH reported better margins and an earnings beat, with EPS rising to $0.42, up from $0.35 last year. The company improved its balance sheet, reducing net debt leverage to 1.8 times and repurchasing 1.1 million shares, signaling financial health.",https://seekingalpha.com/article/4785738-sally-beauty-holdings-shares-surge-with-room-to-run
SBH,2025-05-12 14:30:42,Sally Beauty Lowers FY25 Outlook Despite Q2 Earnings Beat,https://images.financialmodelingprep.com/news/sally-beauty-lowers-fy25-outlook-despite-q2-earnings-beat-20250512.jpg,zacks.com,"SBH reports mixed fiscal second-quarter results, with higher earnings amid reduced sales in a challenging environment. Management lowers the FY25 outlook.",https://www.zacks.com/stock/news/2467116/sally-beauty-lowers-fy25-outlook-despite-q2-earnings-beat?cid=CS-STOCKNEWSAPI-FT-analyst_blog|earnings_article-2467116
SBH,2025-05-12 11:58:21,"Sally Beauty Holdings, Inc. (SBH) Q2 2025 Earnings Call Transcript",https://images.financialmodelingprep.com/news/sally-beauty-holdings-inc-sbh-q2-2025-earnings-call-20250512.jpg,seekingalpha.com,"Sally Beauty Holdings, Inc. (NYSE:SBH ) Q2 2025 Earnings Conference Call May 12, 2025 8:30 AM ET Company Participants Jeff Harkins - VP, IR and Treasurer Denise Paulonis - President and CEO Marlo Cormier - Chief Financial Officer Conference Call Participants Oliver Chen - TD Cowen Korinne Wolfmeyer - Piper Sandler Susan Anderson - Canaccord Genuity Simeon Gutman - Morgan Stanley Sydney Wagner - Jefferies Operator Good morning, everyone, and welcome to Sally Beauty Holdings' Call to discuss the Company's Second Quarter Fiscal 2025 Results. All participants have been placed in a listen-only mode.",https://seekingalpha.com/article/4785632-sally-beauty-holdings-inc-sbh-q2-2025-earnings-call-transcript
SBH,2025-05-12 11:15:42,U.S.-China De-escalation: Markets Rip Higher,https://images.financialmodelingprep.com/news/uschina-deescalation-markets-rip-higher-20250512.jpg,zacks.com,This de-escalation in the burgeoning trade war has opened the floodgates to stock buyers this morning.,https://www.zacks.com/stock/news/2466871/u-s-china-de-escalation-markets-rip-higher?cid=CS-STOCKNEWSAPI-FT-ahead_of_wall_street-2466871
SBH,2025-05-12 10:30:45,Here's What Key Metrics Tell Us About Sally Beauty (SBH) Q2 Earnings,https://images.financialmodelingprep.com/news/heres-what-key-metrics-tell-us-about-sally-beauty-20250512.jpg,zacks.com,"While the top- and bottom-line numbers for Sally Beauty (SBH) give a sense of how the business performed in the quarter ended March 2025, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",https://www.zacks.com/stock/news/2466720/here-s-what-key-metrics-tell-us-about-sally-beauty-sbh-q2-earnings?cid=CS-STOCKNEWSAPI-FT-fundamental_analysis|nfm-2466720
SBH,2025-05-12 08:55:35,Sally Beauty (SBH) Q2 Earnings Beat Estimates,https://images.financialmodelingprep.com/news/sally-beauty-sbh-q2-earnings-beat-estimates-20250512.jpg,zacks.com,"Sally Beauty (SBH) came out with quarterly earnings of $0.42 per share, beating the Zacks Consensus Estimate of $0.39 per share. This compares to earnings of $0.35 per share a year ago.",https://www.zacks.com/stock/news/2466554/sally-beauty-sbh-q2-earnings-beat-estimates?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_4-2466554
SBH,2025-05-12 06:45:00,Sally Beauty Holdings Reports Second Quarter Fiscal 2025 Results,https://images.financialmodelingprep.com/news/sally-beauty-holdings-reports-second-quarter-fiscal-2025-results-20250512.jpg,businesswire.com,"DENTON, Texas--(BUSINESS WIRE)--Sally Beauty Holdings, Inc. (NYSE: SBH) (“the Company”), the leader in professional hair color, today announced financial results for its second quarter ended March 31, 2025. The Company will hold a conference call today at 7:30 a.m. Central Time to discuss these results and its business. Fiscal 2025 Second Quarter Summary Consolidated net sales of $883 million, a decrease of 2.8% compared to the prior year, includes 110 basis points of unfavorable foreign curren.",https://www.businesswire.com/news/home/20250512514375/en/Sally-Beauty-Holdings-Reports-Second-Quarter-Fiscal-2025-Results/
SBH,2025-05-08 10:21:09,Sally Beauty (SBH) Q2 Earnings Preview: What You Should Know Beyond the Headline Estimates,https://images.financialmodelingprep.com/news/sally-beauty-sbh-q2-earnings-preview-what-you-should-20250508.jpg,zacks.com,"Beyond analysts' top -and-bottom-line estimates for Sally Beauty (SBH), evaluate projections for some of its key metrics to gain a better insight into how the business might have performed for the quarter ended March 2025.",https://www.zacks.com/stock/news/2465073/sally-beauty-sbh-q2-earnings-preview-what-you-should-know-beyond-the-headline-estimates?cid=CS-STOCKNEWSAPI-FT-fundamental_analysis|nfm_preview-2465073
SBH,2025-05-07 07:50:29,Sally Beauty Q2 Earnings Coming Up: Key Factors You Should Know,https://images.financialmodelingprep.com/news/sally-beauty-q2-earnings-coming-up-key-factors-you-20250507.jpg,zacks.com,"SBH experiences a challenging start to Q2, citing factors like flu season, adverse weather conditions and geopolitical uncertainties.",https://www.zacks.com/stock/news/2463751/sally-beauty-q2-earnings-coming-up-key-factors-you-should-know?cid=CS-STOCKNEWSAPI-FT-analyst_blog|earnings_preview-2463751
