symbol,publishedDate,title,image,site,text,url
TSM,2025-06-10 18:51:13,Why TSMC (TSM) Outpaced the Stock Market Today,https://images.financialmodelingprep.com/news/why-tsmc-tsm-outpaced-the-stock-market-today-20250610.jpg,zacks.com,"In the most recent trading session, TSMC (TSM) closed at $212.46, indicating a +2.64% shift from the previous trading day.",https://www.zacks.com/stock/news/2493265/why-tsmc-tsm-outpaced-the-stock-market-today?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_6-2493265
TSM,2025-06-10 12:51:00,TSMC shares jump 4% after 40% increase in May sales,https://images.financialmodelingprep.com/news/tsmc-shares-jump-4-after-40-increase-in-may-20250610.jpg,invezz.com,"Taiwan Semiconductor Manufacturing Company (TSMC) (NYSE: TSM), the world's largest contract chipmaker, saw its shares climb over 4% on Tuesday, a significant leap driven by exceptionally strong May revenue figures that far surpassed market expectations.",https://invezz.com/news/2025/06/10/tsmc-shares-jump-4-after-40-increase-in-may-slaes/
TSM,2025-06-10 10:42:52,Semiconductor Stock Surges on May Net Revenue Data,https://images.financialmodelingprep.com/news/semiconductor-stock-surges-on-may-net-revenue-data-20250610.jpg,schaeffersresearch.com,Asia-based chip maker Taiwan Semiconductor Manufacturing Co Ltd.,https://www.schaeffersresearch.com/content/news/2025/06/10/semiconductor-stock-surges-on-may-net-revenue-data
TSM,2025-06-10 10:30:18,Should You Invest in TSMC (TSM) Based on Bullish Wall Street Views?,https://images.financialmodelingprep.com/news/should-you-invest-in-tsmc-tsm-based-on-bullish-20250610.jpg,zacks.com,"Investors often turn to recommendations made by Wall Street analysts before making a Buy, Sell, or Hold decision about a stock. While media reports about rating changes by these brokerage-firm employed (or sell-side) analysts often affect a stock's price, do they really matter?",https://www.zacks.com/stock/news/2492338/should-you-invest-in-tsmc-tsm-based-on-bullish-wall-street-views?cid=CS-STOCKNEWSAPI-FT-fundamental_analysis|average_broker_rating-2492338
TSM,2025-06-10 09:35:24,4 Stocks to Watch on Steady Growth in Semiconductor Sales,https://images.financialmodelingprep.com/news/4-stocks-to-watch-on-steady-growth-in-semiconductor-20250610.jpg,zacks.com,"Semiconductor sales are soaring, with TSM, TXN, ASML, and AEIS positioned to gain from AI-fueled chip demand.",https://www.zacks.com/stock/news/2492350/4-stocks-to-watch-on-steady-growth-in-semiconductor-sales?cid=CS-STOCKNEWSAPI-FT-analyst_blog|investment_ideas-2492350
TSM,2025-06-10 06:15:00,TSMC Stock Rises. The Chip Maker's Sales Jumped 40% in May.,https://images.financialmodelingprep.com/news/tsmc-stock-rises-the-chip-makers-sales-jumped-40-20250610.jpg,barrons.com,Revenue for the first five months of the year was also up 43% year-over-year.,https://www.barrons.com/articles/tsmc-stock-chip-sales-taiwan-semi-66e04e43
TSM,2025-06-10 06:05:52,TSMC May Revenue Jumps 40% as AI Chip Demand Stays Strong,https://images.financialmodelingprep.com/news/tsmc-may-revenue-jumps-40-as-ai-chip-demand-20250610.jpg,investopedia.com,"Taiwan Semiconductor Manufacturing Co. (TSM), the world's largest contract chipmaker, reported May revenue surged nearly 40% year-over-year as demand remained elevated for its artificial intelligence (AI) chips.",https://www.investopedia.com/tsmc-may-revenue-jumps-40-percent-as-ai-chip-demand-stays-strong-11751293
TSM,2025-06-09 10:42:57,TSMC: AI's Most Powerful Gatekeeper,https://images.financialmodelingprep.com/news/tsmc-ais-most-powerful-gatekeeper-20250609.jpg,seekingalpha.com,"TSMC's AI-driven demand is structural, not cyclical, supporting robust margins and revenue growth despite broader chip market uncertainty. Dominance in advanced nodes, scale economics, and exclusive EUV partnerships create a cost and technology moat over Intel and Samsung. Geographic diversification with new fabs in the US, Japan, and Germany strengthens the 'silicon shield' and mitigates geopolitical risks.",https://seekingalpha.com/article/4793440-tsmc-tsm-stock-ai-most-powerful-gatekeeper
TSM,2025-06-09 10:06:10,Taiwan Semiconductor Manufacturing Company Ltd. (TSM) is Attracting Investor Attention: Here is What You Should Know,https://images.financialmodelingprep.com/news/taiwan-semiconductor-manufacturing-company-ltd-tsm-is-attracting-investor-20250609.jpg,zacks.com,"Recently, Zacks.com users have been paying close attention to TSMC (TSM). This makes it worthwhile to examine what the stock has in store.",https://www.zacks.com/stock/news/2490562/taiwan-semiconductor-manufacturing-company-ltd-tsm-is-attracting-investor-attention-here-is-what-you-should-know?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|most_searched_stocks-2490562
TSM,2025-06-09 05:45:00,"Got $1,000? Super Micro Computer Stock Is a Brilliant Backdoor AI Play",https://images.financialmodelingprep.com/news/got-1000-super-micro-computer-stock-is-a-brilliant-20250609.jpg,fool.com,"There are many ways to play the AI investment trend. Hardware companies like Nvidia (NASDAQ: NVDA) are powering the training of AI models, suppliers like Taiwan Semiconductor (NYSE: TSM) are building the chips for Nvidia, and software companies like Palantir (NASDAQ: PLTR) are providing platforms to deploy AI for real-world use.",https://www.fool.com/investing/2025/06/09/got-1000-super-micro-computer-stock-is-a-brilliant/
