symbol,publishedDate,title,image,site,text,url
ULTA,2025-06-10 13:03:56,Ulta Beauty: A Margin Expansion Story,https://images.financialmodelingprep.com/news/ulta-beauty-a-margin-expansion-story-20250610.jpg,seekingalpha.com,"Ulta remains a high-quality business with strong fundamentals, loyal customers, and a pristine balance sheet, now trading at a good—not deep value—price. The 2025 investment thesis centers on margin expansion, not top line growth; operational improvements could lift margins from 14% back to 16%, unlocking shareholder value. Ulta's future growth levers include a high-margin media business, international expansion, new product categories, and continued buybacks, but risks remain around execution and competition.",https://seekingalpha.com/article/4793779-ulta-beauty-margin-expansion-story
ULTA,2025-06-06 07:18:05,5 Earnings Season Winners With More Upside on the Way,https://images.financialmodelingprep.com/news/5-earnings-season-winners-with-more-upside-on-the-20250606.jpg,marketbeat.com,"Earnings season has come and gone, and many prominent companies surprised analysts with impressive Q1 earnings strength. Despite unpredictable tariffs, a weakening dollar, and ISM survey comments that suggest Armageddon is imminent, the S&P 500 continues to chug along toward its February all-time high.",https://www.marketbeat.com/stock-ideas/5-earnings-season-winners-with-more-upside-on-the-way/
ULTA,2025-06-06 06:29:26,Ulta Beauty Sales Growth Attracts Inflows,https://images.financialmodelingprep.com/news/ulta-beauty-sales-growth-attracts-inflows-20250606.jpg,fxempire.com,"Strong sales growth sends Big Money to Ulta Beauty, Inc. (ULTA).",https://www.fxempire.com/forecasts/article/ulta-beauty-sales-growth-attracts-inflows-1524281
ULTA,2025-06-05 13:46:48,"Final Trades: Ulta, Disney, Gap and the SLV",https://images.financialmodelingprep.com/news/final-trades-ulta-disney-gap-and-the-slv-20250605.jpg,youtube.com,The Investment Committee give you their top stocks to watch for the second half.,https://www.youtube.com/watch?v=HrOER_OBNM4
ULTA,2025-06-05 13:05:28,Ulta Beauty (ULTA) is a Great Momentum Stock: Should You Buy?,https://images.financialmodelingprep.com/news/ulta-beauty-ulta-is-a-great-momentum-stock-should-20250605.jpg,zacks.com,Does Ulta Beauty (ULTA) have what it takes to be a top stock pick for momentum investors? Let's find out.,https://www.zacks.com/stock/news/2486080/ulta-beauty-ulta-is-a-great-momentum-stock-should-you-buy?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_10-2486080
ULTA,2025-06-04 11:47:16,"Ulta Beauty, Inc. (ULTA) Presents at 2025 dbAccess Global Consumer Conference Transcript",https://images.financialmodelingprep.com/news/ulta-beauty-inc-ulta-presents-at-2025-dbaccess-global-20250604.jpg,seekingalpha.com,"Ulta Beauty, Inc. (NASDAQ:ULTA ) 2025 dbAccess Global Consumer Conference June 4, 2025 8:45 AM ET Company Participants Kecia L. Steelman - President, CEO & Director Paula M.",https://seekingalpha.com/article/4792391-ulta-beauty-inc-ulta-presents-at-2025-dbaccess-global-consumer-conference-transcript
ULTA,2025-06-04 09:42:58,"Nationwide coordinated retail crime crackdown results in hundreds of arrests, authorities say",https://images.financialmodelingprep.com/news/nationwide-coordinated-retail-crime-crackdown-results-in-hundreds-of-20250604.jpg,cnbc.com,"A nationwide coordinated crackdown on retail crime — what authorities are calling the first of its kind — led to hundreds of arrests in 28 states last week. The blitz involved more than 100 jurisdictions and over 30 retailers including Home Depot, Macy's, Target, Ulta Beauty, Walgreens, Kroger and Meijer.",https://www.cnbc.com/2025/06/04/retail-crime-crackdown-hundreds-of-arrests.html
ULTA,2025-06-04 04:24:00,"The Ultimate Growth Stock to Buy With $1,000 Right Now",https://images.financialmodelingprep.com/news/the-ultimate-growth-stock-to-buy-with-1000-right-20250604.jpg,fool.com,"Investing can feel overwhelming. There's a lot of jargon, but those starting out shouldn't feel intimidated.",https://www.fool.com/investing/2025/06/04/the-ultimate-growth-stock-to-buy-with-1000-right-n/
ULTA,2025-06-03 09:50:28,These 2 Retail and Wholesale Stocks Could Beat Earnings: Why They Should Be on Your Radar,https://images.financialmodelingprep.com/news/these-2-retail-and-wholesale-stocks-could-beat-earnings-20250603.jpg,zacks.com,Why investors should use the Zacks Earnings ESP tool to help find stocks that are poised to top quarterly earnings estimates.,https://www.zacks.com/stock/news/2482599/these-2-retail-and-wholesale-stocks-could-beat-earnings-why-they-should-be-on-your-radar?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|zacks_education_earnings_esp-2482599
ULTA,2025-06-02 17:26:12,Ulta's Beautiful Q1 Earnings Report Points to More Gains Ahead,https://images.financialmodelingprep.com/news/ultas-beautiful-q1-earnings-report-points-to-more-gains-20250602.jpg,marketbeat.com,"Customers weren't the only ones getting blowouts from Ulta Beauty Inc. NASDAQ: ULTA last week, as the company blew away expectations in its Q1 2025 earnings report, released Thursday after the final bell.",https://www.marketbeat.com/originals/ulta-beautiful-q1-earnings-points-to-more-gains-ahead/
ULTA,2025-06-02 11:05:20,Top Beauty and Cosmetics Stocks That Could Be in Your Portfolio,https://images.financialmodelingprep.com/news/top-beauty-and-cosmetics-stocks-that-could-be-in-20250602.jpg,zacks.com,"Leading companies like COTY, ULTA and SBH are tapping tech, innovation and shifting trends to stay ahead in the fast-evolving beauty market.",https://www.zacks.com/stock/news/2480333/top-beauty-and-cosmetics-stocks-that-could-be-in-your-portfolio?cid=CS-STOCKNEWSAPI-FT-beauty_&_cosmetics-2480333
ULTA,2025-05-30 18:31:42,"Final Trade: BIDU, ULTA, CEG, NFLX",https://images.financialmodelingprep.com/news/final-trade-bidu-ulta-ceg-nflx-20250530.jpg,youtube.com,The final trades of the day with CNBC's Melissa Lee and the Fast Money traders.,https://www.youtube.com/watch?v=4VcYTYLx674
