date,score
2024-06-12,0.6369
2024-06-13,0.7034
2024-06-14,0.4404
2024-06-17,0.7034
2024-06-19,0.8658
2024-06-22,0.7034
2024-06-24,0.7034
2024-06-26,0.130025
2024-06-27,0.20215
2024-06-28,0.1779
2024-06-30,0.66
2024-07-02,0.7034
2024-07-05,0.7034
2024-07-07,0.7034
2024-07-10,0.4404
2024-07-17,0.03846666666666667
2024-07-18,0.0
2024-07-22,0.3818
2024-07-30,0.5859
2024-08-01,0.4404
2024-08-09,0.0
2024-08-21,-0.2023
2024-09-10,0.20090000000000002
2024-09-11,0.06784285714285714
2024-09-12,0.3612
2024-09-13,0.07655
2024-09-16,0.0
2024-09-18,0.6486
2024-09-23,0.7184
2024-10-04,0.64795
2024-10-21,0.4404
2024-10-23,0.296
2024-11-06,0.4404
2024-11-07,0.4404
2024-11-13,0.0
2024-12-05,0.44405000000000006
2024-12-06,0.339975
2024-12-12,0.4939
2024-12-25,0.0
2025-01-13,0.5106
2025-02-18,0.4588
2025-02-20,0.4404
2025-03-06,0.5859
2025-03-14,-0.0516
2025-03-26,0.4404
2025-03-27,0.34964
2025-03-28,0.4215
2025-04-02,0.0
2025-04-08,-0.5719
2025-05-14,0.2023
2025-05-15,0.4404
2025-05-21,0.0
2025-05-22,0.7906
2025-06-05,0.16262500000000002
2025-06-06,0.2057
2025-06-09,0.0
