symbol,publishedDate,title,image,site,text,url
WSM,2025-06-06 08:55:00,POTTERY BARN KIDS LAUNCHES DEBUT COLLABORATION WITH GLOBALLY BELOVED ENTERTAINMENT BRAND POKÉMON,https://images.financialmodelingprep.com/news/pottery-barn-kids-launches-debut-collaboration-with-globally-beloved-20250606.jpg,businesswire.com,"SAN FRANCISCO--(BUSINESS WIRE)--Pottery Barn Kids, portfolio brand of Williams-Sonoma, Inc. (NYSE: WSM), the world's largest digital-first, design-led and sustainable home retailer, today announced a collaboration with The Pokémon Company International to launch a new home and accessory collection featuring fan-favorite Pokémon. Since its debut in 1996, Pokémon has become a global phenomenon and one of the most popular and successful entertainment franchises in the world. The new Pokémon &.",https://www.businesswire.com/news/home/20250606742415/en/POTTERY-BARN-KIDS-LAUNCHES-DEBUT-COLLABORATION-WITH-GLOBALLY-BELOVED-ENTERTAINMENT-BRAND-POK%C3%89MON/
WSM,2025-06-05 10:37:00,"Benjamin Moore Announces Multi-Year Home Partnership with Williams-Sonoma, Inc. Brands",https://images.financialmodelingprep.com/news/benjamin-moore-announces-multiyear-home-partnership-with-williamssonoma-inc-20250605.jpg,businesswire.com,"MONTVALE, N.J.--(BUSINESS WIRE)--Benjamin Moore, a leader in paint, color and coatings, announced its multi-year partnership with Williams-Sonoma, Inc. portfolio brands Pottery Barn, Pottery Barn Teen, Pottery Barn Kids, West Elm and Rejuvenation. Williams-Sonoma, Inc. (NYSE: WSM) is the world's largest, digital-first, design-led and sustainable home retailer. The partnership aligns the legacy paint brand known for its premium paints and colors with the distinctive high-quality home furnishings.",https://www.businesswire.com/news/home/20250605942472/en/Benjamin-Moore-Announces-Multi-Year-Home-Partnership-with-Williams-Sonoma-Inc.-Brands/
WSM,2025-05-30 10:55:19,Williams-Sonoma Expands Payment Partnership With Affirm in Canada,https://images.financialmodelingprep.com/news/williamssonoma-expands-payment-partnership-with-affirm-in-canada-20250530.jpg,zacks.com,WSM expands payment options in Canada by extending partnership with Affirm to offer flexible financing across its family of brands.,https://www.zacks.com/stock/news/2479575/williams-sonoma-expands-payment-partnership-with-affirm-in-canada?cid=CS-STOCKNEWSAPI-FT-analyst_blog|company_news_corporate_actions-2479575
WSM,2025-05-29 11:15:23,WSM Expands Dorm Market Presence With Dormify Acquisition,https://images.financialmodelingprep.com/news/wsm-expands-dorm-market-presence-with-dormify-acquisition-20250529.jpg,zacks.com,Williams-Sonoma acquires Dormify to expand its reach in the dorm and lifestyle market.,https://www.zacks.com/stock/news/2478959/wsm-expands-dorm-market-presence-with-dormify-acquisition?cid=CS-STOCKNEWSAPI-FT-analyst_blog|company_news_corporate_actions-2478959
WSM,2025-05-29 09:00:00,"Affirm expands partnership with Williams-Sonoma, Inc. into Canada",https://images.financialmodelingprep.com/news/affirm-expands-partnership-with-williamssonoma-inc-into-canada-20250529.jpg,businesswire.com,"TORONTO--(BUSINESS WIRE)--Affirm (NASDAQ: AFRM), the payment network that empowers consumers and helps merchants drive growth, today announced the expansion of its partnership with Williams-Sonoma, Inc. (NYSE: WSM) into Canada. This builds on the companies' multi-year partnership in the U.S. and brings Affirm to Canadians shopping at Williams-Sonoma, Inc.'s family of brands including Williams Sonoma, West Elm, Pottery Barn, Pottery Barn Teen, Pottery Barn Kids, and Mark & Graham. Whether sh.",https://www.businesswire.com/news/home/20250529904934/en/Affirm-expands-partnership-with-Williams-Sonoma-Inc.-into-Canada/
WSM,2025-05-28 10:01:18,"Williams-Sonoma, Inc. (WSM) is Attracting Investor Attention: Here is What You Should Know",https://images.financialmodelingprep.com/news/williamssonoma-inc-wsm-is-attracting-investor-attention-here-is-20250528.jpg,zacks.com,"Williams-Sonoma (WSM) has received quite a bit of attention from Zacks.com users lately. Therefore, it is wise to be aware of the facts that can impact the stock's prospects.",https://www.zacks.com/stock/news/2478102/williams-sonoma-inc-wsm-is-attracting-investor-attention-here-is-what-you-should-know?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|most_searched_stocks_v1-2478102
WSM,2025-05-28 08:55:00,"WILLIAMS-SONOMA, INC. ANNOUNCES STRATEGIC ACQUISITION TO EXPAND IN DORM MARKET",https://images.financialmodelingprep.com/news/williamssonoma-inc-announces-strategic-acquisition-to-expand-in-dorm-20250528.jpg,businesswire.com,"SAN FRANCISCO--(BUSINESS WIRE)--Williams-Sonoma, Inc. (NYSE: WSM) the world's largest digital-first, design-led and sustainable home retailer, announced today the acquisition of the intellectual property of Dormify, a trusted online retailer and content resource for college students and young adults seeking curated, space-saving home solutions. This strategic acquisition reinforces Williams-Sonoma, Inc.'s ongoing commitment to long-term growth and showcases the company's ability to pursue targe.",https://www.businesswire.com/news/home/20250528167089/en/WILLIAMS-SONOMA-INC.-ANNOUNCES-STRATEGIC-ACQUISITION-TO-EXPAND-IN-DORM-MARKET/
WSM,2025-05-23 15:22:20,Williams-Sonoma Poised For Over 50% Upside On Housing Rebound Hopes: Analyst,https://images.financialmodelingprep.com/news/williamssonoma-poised-for-over-50-upside-on-housing-rebound-20250523.jpg,benzinga.com,"Williams-Sonoma, Inc. WSM saw several analysts reiterate their coverage, with one analyst making a modest reduction to the price forecast following Thursday's first-quarter results.",https://www.benzinga.com/analyst-ratings/analyst-color/25/05/45594699/williams-sonoma-poised-for-over-50-upside-on-housing-rebound-hopes-analyst
WSM,2025-05-23 11:01:22,Williams-Sonoma: A Fundamentally Good Buy On Sale Now,https://images.financialmodelingprep.com/news/williamssonoma-a-fundamentally-good-buy-on-sale-now-20250523.jpg,marketbeat.com,"Williams-Sonoma NYSE: WSM is fundamentally a good buy because of its operational quality, fortress balance sheet, cash flow, and ability to sustain value-building capital returns. It is on sale in Q2 2025 because the guidance update provides no catalyst for a rally.",https://www.marketbeat.com/originals/williams-sonoma-a-fundamentally-good-buy-on-sale-now/
WSM,2025-05-22 19:44:26,Williams-Sonoma CEO Laura Alber goes one-on-one with Jim Cramer,https://images.financialmodelingprep.com/news/williamssonoma-ceo-laura-alber-goes-oneonone-with-jim-cramer-20250522.jpg,youtube.com,"Williams-Sonoma President and CEO Laura Alber joins 'Mad Money' host Jim Cramer to talk the impact of tariffs, utilizing AI, quarterly results, and more.",https://www.youtube.com/watch?v=BNhE5V8OdX0
