date,score
2024-06-11,0.7282500000000001
2024-06-12,0.0
2024-06-14,0.0
2024-06-19,0.0
2024-06-20,0.20095
2024-06-25,0.0
2024-07-03,0.0
2024-07-06,0.6124
2024-07-08,0.0
2024-07-19,0.4767
2024-07-24,0.0
2024-07-25,0.0
2024-07-29,0.0
2024-07-30,0.0
2024-07-31,0.0
2024-08-06,0.0
2024-08-07,0.0
2024-08-09,0.6124
2024-08-12,-0.4215
2024-08-14,0.0
2024-08-19,0.0
2024-08-23,0.0
2024-08-26,0.5106
2024-08-27,0.0
2024-08-28,0.0
2024-08-30,0.5267
2024-09-02,0.0
2024-09-05,0.296
2024-09-09,0.3454
2024-09-11,0.0
2024-09-13,-0.128
2024-09-16,0.318
2024-09-17,0.4215
2024-09-19,0.0
2024-09-20,0.0
2024-09-24,0.10323636363636363
2024-09-25,0.37505
2024-09-26,0.2023
2024-09-30,0.4767
2024-10-01,0.3021
2024-10-02,-0.4215
2024-10-03,-0.4215
2024-10-05,0.0
2024-10-09,0.148
2024-10-11,0.4767
2024-10-15,-0.6369
2024-10-16,0.0
2024-10-17,0.0
2024-10-22,0.11315
2024-10-23,0.5267
2024-10-24,0.0
2024-10-29,-0.3875
2024-11-01,0.0
2024-11-04,0.148
2024-11-05,0.0
2024-11-07,0.21075
2024-11-12,0.0
2024-11-14,-0.4588
2024-11-15,0.1591
2024-11-18,0.0
2024-11-19,0.0
2024-11-25,0.0
2024-11-27,0.0
2024-12-02,0.2263
2024-12-03,0.0
2024-12-06,0.0
2024-12-10,0.05561818181818182
2024-12-11,0.6597
2024-12-12,-0.07655
2024-12-16,0.0
2024-12-17,0.0
2024-12-19,0.0
2024-12-30,0.4767
2025-01-02,0.0
2025-01-07,0.0
2025-01-09,0.0
2025-01-10,0.0
2025-01-13,0.3291
2025-01-14,0.0
2025-01-17,0.0
2025-01-22,0.0
2025-01-23,0.0
2025-01-27,0.0
2025-02-03,0.0
2025-02-04,-0.07543333333333334
2025-02-10,0.0
2025-02-11,0.3182
2025-02-14,0.4767
2025-02-19,0.2263
2025-02-20,0.0
2025-02-21,0.0258
2025-02-22,0.4939
2025-02-25,0.0
2025-02-26,0.4215
2025-03-03,0.2023
2025-03-04,-0.032200000000000006
2025-03-05,0.8402
2025-03-07,-0.2263
2025-03-09,0.3182
2025-03-13,0.6369
2025-03-14,0.0
2025-03-17,0.25
2025-03-21,0.0
2025-03-24,0.2732
2025-03-27,0.4215
2025-03-28,0.23026666666666665
2025-03-31,0.5267
2025-04-01,-0.03705
2025-04-03,0.10656666666666666
2025-04-09,0.0
2025-04-13,0.4265
2025-04-14,0.2202
2025-04-17,0.2023
2025-04-19,-0.0772
2025-04-20,0.0
2025-04-22,0.5859
2025-04-23,0.0
2025-04-24,0.0
2025-04-28,0.1998
2025-04-30,0.0
2025-05-02,0.1591
2025-05-09,0.0
2025-05-10,0.7906
2025-05-13,0.34
2025-05-16,0.0
2025-05-19,0.2023
2025-05-20,0.0
2025-05-21,0.5267
2025-05-22,0.2263
2025-05-23,0.0
2025-05-27,-0.012449999999999992
2025-05-28,0.0
2025-05-29,0.0
2025-05-30,0.0
2025-05-31,0.3818
2025-06-03,0.4767
