Ticker,Same Day Correlation,7D MA Correlation,Optimal Lag Days,Optimal Lag Correlation,R-squared,P-value,Data Points
AMZN,0.115,0.008,-4,0.33,0.013,0.4325,49
WMT,0.07,0.135,10,0.157,0.005,0.4136,138
COST,-0.121,-0.219,N/A,N/A,0.015,0.0677,228
HD,0.073,0.117,14,0.124,0.005,0.3131,191
TGT,0.247,0.48,6,0.327,0.061,0.0013,167
LOW,-0.119,-0.279,-11,0.105,0.014,0.1459,151
TJX,-0.291,-0.51,N/A,N/A,0.085,0.0003,147
ORLY,-0.226,-0.426,N/A,N/A,0.051,0.0774,62
BBY,0.259,0.533,6,0.395,0.067,0.0127,92
WSM,0.223,0.385,-5,0.3,0.05,0.015,119
ULTA,0.032,0.208,5,0.174,0.001,0.7105,136
DKS,0.151,0.268,15,0.3,0.023,0.0834,132
FIVE,0.481,0.511,-2,0.506,0.231,0.0,128
GME,0.101,0.122,-9,0.284,0.01,0.2304,144
BBWI,0.298,0.515,2,0.401,0.089,0.0186,62
CASY,0.094,0.184,-1,0.145,0.009,0.3681,93
AZO,0.006,0.011,-15,0.125,0.0,0.9467,124
MUSA,-0.265,-0.154,12,0.337,0.07,0.0816,44
RH,0.174,0.28,-15,0.219,0.03,0.0557,122
ODP,0.169,0.417,6,0.355,0.028,0.1349,80
SBH,0.18,0.333,-7,0.262,0.033,0.2201,48
BBW,-0.239,-0.376,8,0.106,0.057,0.0905,51
WOOF,0.266,0.033,-4,0.385,0.071,0.059,51
GPC,0.355,0.42,0,0.355,0.126,0.0006,91
ASO,0.102,0.061,-15,0.419,0.01,0.4744,51
