date,score
2024-06-11,0.0
2024-06-12,0.37412500000000004
2024-06-13,0.26725
2024-06-14,0.4425666666666667
2024-06-17,0.7783
2024-06-18,0.08257500000000001
2024-06-19,-0.17020000000000002
2024-06-20,0.38911428571428575
2024-06-21,0.7845
2024-06-24,0.28554
2024-06-25,0.085
2024-06-26,0.4817666666666667
2024-06-27,0.28786666666666666
2024-06-28,0.802
2024-06-29,0.0
2024-06-30,0.765
2024-07-04,0.5994
2024-07-08,-0.0683
2024-07-09,0.34
2024-07-13,0.8625
2024-07-15,0.5256333333333333
2024-07-17,-0.10115
2024-07-18,-0.1591
2024-07-19,0.0
2024-07-20,0.0
2024-07-21,0.0
2024-07-22,0.0
2024-07-23,0.37985
2024-07-24,0.72915
2024-07-26,0.0
2024-07-28,0.0
2024-07-30,0.23835
2024-08-01,0.07655
2024-08-04,0.0
2024-08-05,0.3182
2024-08-06,0.229275
2024-08-07,0.0
2024-08-08,0.12643333333333331
2024-08-09,0.3404
2024-08-11,-0.1695
2024-08-12,0.4318666666666667
2024-08-13,0.30742499999999995
2024-08-14,0.227175
2024-08-15,0.16463333333333333
2024-08-16,-0.1806
2024-08-18,0.2023
2024-08-20,0.24695
2024-08-21,0.2263
2024-08-22,-0.05135
2024-08-23,0.35
2024-08-24,-0.011999999999999997
2024-08-25,0.0
2024-08-26,0.10606666666666666
2024-08-27,0.140875
2024-08-28,0.0
2024-08-29,0.12027857142857143
2024-08-30,0.19609
2024-08-31,0.5267
2024-09-02,0.0
2024-09-03,0.0
2024-09-04,0.075075
2024-09-05,0.523475
2024-09-06,0.3883
2024-09-08,0.4404
2024-09-09,0.2649818181818182
2024-09-10,0.19765
2024-09-11,-0.148
2024-09-12,0.6249
2024-09-13,0.49365000000000003
2024-09-14,0.0
2024-09-16,0.2861666666666667
2024-09-17,0.570175
2024-09-18,0.148
2024-09-20,0.296
2024-09-22,0.148
2024-09-23,0.296
2024-09-24,0.123475
2024-09-25,0.2553
2024-09-26,0.1749
2024-09-27,0.2394666666666667
2024-09-30,0.7778
2024-10-01,0.5267
2024-10-02,0.4404
2024-10-03,0.25715
2024-10-05,0.5994
2024-10-07,0.4234
2024-10-08,0.1909
2024-10-09,0.3818
2024-10-10,0.1027
2024-10-11,0.3818
2024-10-14,0.0
2024-10-15,0.2779
2024-10-18,0.0
2024-10-21,0.0
2024-10-22,0.0
2024-10-24,0.0
2024-10-28,0.4215
2024-10-29,-0.1366
2024-10-30,0.0
2024-11-01,0.0
2024-11-03,0.8074
2024-11-04,0.16103333333333336
2024-11-05,0.4404
2024-11-06,0.5994
2024-11-08,0.0
2024-11-09,0.0
2024-11-10,0.0
2024-11-11,0.329275
2024-11-12,0.32893333333333336
2024-11-13,0.31245
2024-11-14,0.1956
2024-11-15,0.296
2024-11-17,0.5574
2024-11-18,0.29569999999999996
2024-11-19,0.14952
2024-11-20,-0.10115
2024-11-21,0.044475
2024-11-22,0.20828571428571427
2024-11-23,0.6486
2024-11-24,0.6249
2024-11-25,0.10606666666666666
2024-11-26,-0.0018944444444444456
2024-11-27,0.08274814814814814
2024-11-28,-0.15689999999999998
2024-11-29,0.06835714285714285
2024-11-30,0.5994
2024-12-02,0.0
2024-12-03,0.07543333333333334
2024-12-04,0.6369
2024-12-06,0.9022
2024-12-09,0.1779
2024-12-12,0.3724
2024-12-13,0.28800000000000003
2024-12-14,0.6124
2024-12-15,0.4767
2024-12-16,0.10115
2024-12-19,0.0
2024-12-23,0.0
2024-12-27,0.0
2024-12-30,0.1858
2025-01-01,0.4767
2025-01-02,0.21619999999999998
2025-01-03,0.2732
2025-01-04,0.4215
2025-01-06,0.0
