symbol,publishedDate,title,image,site,text,url
FIVE,2025-06-10 10:00:00,"Bronstein, Gewirtz & Grossman, LLC Encourages Five Below, Inc. (FIVE) Stockholders to Inquire about Securities Investigation",https://images.financialmodelingprep.com/news/bronstein-gewirtz-grossman-llc-encourages-five-below-inc-five-20250610.jpg,accessnewswire.com,"NEW YORK CITY, NY / ACCESS Newswire / June 10, 2025 / Bronstein, Gewirtz & Grossman, LLC is investigating potential claims on behalf of purchasers of Five Below, Inc. (""Five Below"" or ""the Company"") (NASDAQ:FIVE). Investors who purchased Five Below securities prior to December 1, 2022, and continue to hold to the present, are encouraged to obtain additional information and assist the investigation by visiting the firm's site: bgandg.com/FIVE.",https://www.accessnewswire.com/newsroom/en/business-and-professional-services/bronstein-gewirtz-and-grossman-llc-encourages-five-below-inc.-fi-1033086
FIVE,2025-06-09 08:30:00,"INVESTOR NOTICE: Kaskela Law LLC Announces Investigation of Five Below, Inc. and Encourages Long-Term Investors to Contact the Firm - FIVE",https://images.financialmodelingprep.com/news/investor-notice-kaskela-law-llc-announces-investigation-of-five-20250609.jpg,accessnewswire.com,"PHILADELPHIA, PA / ACCESS Newswire / June 9, 2025 / Kaskela Law LLC announces that it is investigating potential breach of fiduciary duties claims concerning Five Below, Inc. (NASDAQ:FIVE) on behalf of the company's long-term investors.  Click here to receive additional information about your legal rights and options: https://kaskelalaw.com/case/five-below/ Recently a securities fraud complaint was filed against Five Below on behalf of certain investors who purchased shares of the company's stock between December 1, 2022, and July 16, 2024.",https://www.accessnewswire.com/newsroom/en/business-and-professional-services/investor-notice-kaskela-law-llc-announces-investigation-of-five-1036741
FIVE,2025-06-08 10:00:00,"Bronstein, Gewirtz & Grossman, LLC Encourages Five Below, Inc. (FIVE) Investors to Inquire about Securities Investigation",https://images.financialmodelingprep.com/news/bronstein-gewirtz-grossman-llc-encourages-five-below-inc-five-20250608.jpg,accessnewswire.com,"NEW YORK CITY, NY / ACCESS Newswire / June 8, 2025 / Bronstein, Gewirtz & Grossman, LLC is investigating potential claims on behalf of purchasers of Five Below, Inc. (""Five Below"" or ""the Company"") (NASDAQ:FIVE). Investors who purchased Five Below securities prior to December 1, 2022, and continue to hold to the present, are encouraged to obtain additional information and assist the investigation by visiting the firm's site: bgandg.com/FIVE.",https://www.accessnewswire.com/newsroom/en/business-and-professional-services/bronstein-gewirtz-and-grossman-llc-encourages-five-below-inc.-fi-1033085
FIVE,2025-06-08 08:48:06,"Five Below Pops on Strong Earnings, But Rally May Stall",https://images.financialmodelingprep.com/news/five-below-pops-on-strong-earnings-but-rally-may-20250608.jpg,marketbeat.com,"Off-price retail stocks have had a good week, and Five Below Inc. NASDAQ: FIVE was no exception. After the market closed on June 4, the company reported strong earnings and raised its full-year guidance.",https://www.marketbeat.com/originals/five-below-pops-on-strong-earnings-but-rally-may-stall/
FIVE,2025-06-06 13:04:47,This Affordable Retailer Is Now Available For Home Delivery,https://images.financialmodelingprep.com/news/this-affordable-retailer-is-now-available-for-home-delivery-20250606.jpg,https://www.patch.com,"A popular shop among kids, teens, tweens and young adults has partnered with Uber Eats, making their ""extreme-value"" products deliverable doorsteps nationwide. The American chain — which offers items priced between $1 and $5 — has more than 1,800 locations spanning across 45 states. Five Below and Uber Eats announced a partnership on Thursday. “Five Below is a go-to destination for fun, trendy, and affordable products — and now, customers can get their favorites delivered on-demand,” said Hashim Amin, Head of Grocery & Retail for Uber Eats North America. “Whether it’s a last-minute birthday gift, a Friday night snack haul, or just a spontaneous treat, we’re thrilled to unlock even more convenience and value through this exciting partnership.” Five Below's new online accessibility will allow fans of the shop to order ""top brand"" toys, games, candy, graphic tees, tech, crafts, room décor, beauty and more. ""No slumber party, game night, or snack run left behind,"" the company said Thursday. Uber One members will get free delivery on eligible orders. Five Below operates in the following states: Uber Eats says it is expanding its selection of retail and non-food offerings. Here's how to order Five Below products through Uber Eats: The retailer has announced it is opening 14 new locations this year in California, Colorado, Connecticut, Florida, Kentucky, Michigan, New Jersey, New Mexico, New York, North Carolina, Utah and Virigina. MORE RETAIL NEWS FROM PATCH: The shop offers brands popular with teens, including Squishmallows, Hello Kitty, L.A. Colors, Nickelodeon, Marvel, Disney, Star Wars, Hershey's and more. Five Below was born from a simple brainstorming session between two friends and business partners, Tom and David, at their local coffee shop. Fueled by caffeine and a shared entrepreneurial spirit, they sketched out a new kind of retail concept — one designed to resonate with kids and teens. That back-of-the-napkin idea became the foundation for what is now Five Below, a brand built on creativity, accessibility, and a promise to deliver fun and value from day one, according to the company. The chain has grown significantly in recent years while other ultra-low-priced competitors like Dollar General and its concept Popshelf have struggled financially, prompting scores of locations to shutter permanently across the nation. Popshelf, the chain with a youthful concept that nearly mirrors Five Below's, planned to close 45 locations in 2025, the company said in March.",https://www.patch.com/us/across-america/affordable-retailer-now-available-home-delivery
FIVE,2025-06-05 17:55:00,Five Below: Strong Q1 Comparable Sales,https://images.financialmodelingprep.com/news/five-below-strong-q1-comparable-sales-20250605.jpg,fool.com,Here's our initial take on Five Below's (FIVE 5.62%) fiscal 2025 first-quarter financial report.,https://www.fool.com/investing/2025/06/05/five-below-strong-q1-comparable-sales/
FIVE,2025-06-05 16:21:06,Why Five Below Stock Was Moving Higher This Week,https://images.financialmodelingprep.com/news/why-five-below-stock-was-moving-higher-this-week-20250605.jpg,fool.com,"Shares of Five Below (FIVE 5.62%) were moving higher this week in response to a better-than-expected first-quarter earnings report. In addition, commentary from Dollar General, which is also reported earnings this week, led investors to believe that discount stores were well-positioned in the current economic environment.",https://www.fool.com/investing/2025/06/05/why-five-below-stock-was-moving-higher-this-week/
FIVE,2025-06-05 13:41:05,"Five Below Q1 Earnings Beat, Comps Increase Y/Y, FY25 View Raised",https://images.financialmodelingprep.com/news/five-below-q1-earnings-beat-comps-increase-yy-fy25-20250605.jpg,zacks.com,"FIVE posts 43% adjusted EPS growth in Q1, with 7.1% comp gains and a raised FY25 outlook, driven by store expansion.",https://www.zacks.com/stock/news/2486207/five-below-q1-earnings-beat-comps-increase-y-y-fy25-view-raised?cid=CS-STOCKNEWSAPI-FT-analyst_blog|earnings_article-2486207
FIVE,2025-06-05 13:25:32,Why Five Below Stock Is Soaring Today,https://images.financialmodelingprep.com/news/why-five-below-stock-is-soaring-today-20250605.jpg,fool.com,Five Below (FIVE 3.54%) stock is gaining ground in Thursday's trading. The company's share price was up 6.5% as of 12:45 p.m.,https://www.fool.com/investing/2025/06/05/why-five-below-stock-is-soaring-today/
FIVE,2025-06-05 12:20:46,"Top Stock Movers Now: Dollar Tree, Brown-Forman, Five Below, and More",https://images.financialmodelingprep.com/news/top-stock-movers-now-dollar-tree-brownforman-five-below-20250605.jpg,investopedia.com,"U.S. equities rallied at midday after President Donald Trump said he and Chinese leader Xi Jinping agreed to more trade talks. The Dow Jones Industrial Average, S&P 500, and Nasdaq all gained.",https://www.investopedia.com/top-stock-movers-now-dollar-tree-brown-forman-five-below-and-more-11748867
