symbol,publishedDate,title,image,site,text,url
GPC,2025-06-09 16:30:00,Genuine Parts Company Announces Executive Officer Changes,https://images.financialmodelingprep.com/news/genuine-parts-company-announces-executive-officer-changes-20250609.jpg,prnewswire.com,"Randy Breaux to Retire as Group President, GPC North America Alain Masse Promoted to President, North America Automotive ATLANTA , June 9, 2025 /PRNewswire/ -- Genuine Parts Company (NYSE: GPC), a leading global service provider of automotive and industrial replacement parts and value-added solutions, announces Randy Breaux's decision to retire as Group President, GPC North America at the end of 2025. The company also announced Alain Masse's promotion from President, UAP, Inc., GPC's Canadian automotive business, to the newly created role of President, North America Automotive, effective August 2025.",https://www.prnewswire.com/news-releases/genuine-parts-company-announces-executive-officer-changes-302476827.html
GPC,2025-06-04 10:55:04,"Ex-Dividend Reminder: Molson Coors Beverage, PepsiCo And Genuine Parts",https://images.financialmodelingprep.com/news/exdividend-reminder-molson-coors-beverage-pepsico-and-genuine-parts-20250604.jpg,forbes.com,"On 6/6/25, Molson Coors Beverage, PepsiCo, and Genuine Parts will all trade ex-dividend for their respective upcoming dividends. Molson Coors Beverage will pay its quarterly dividend of $0.47 on 6/20/25, PepsiCo will pay its quarterly dividend of $1.4225 on 6/30/25, and Genuine Parts will pay its quarterly dividend of $1.03 on 7/2/25.",https://www.forbes.com/sites/dividendchannel/2025/06/04/ex-dividend-reminder-molson-coors-beverage-pepsico-and-genuine-parts/
GPC,2025-05-24 07:16:02,4 Strong Buy Dividend Kings That Have Raised Their Dividend for 60 Years or More,https://images.financialmodelingprep.com/news/4-strong-buy-dividend-kings-that-have-raised-their-20250524.jpg,247wallst.com,Investors love dividend stocks because they provide dependable passive income streams and an excellent opportunity for solid total return.,https://247wallst.com/investing/2025/05/24/4-strong-buy-dividend-kings-that-have-raised-their-dividend-for-60-years-and-more/
GPC,2025-05-22 12:36:42,Genuine Parts (GPC) Up 7.7% Since Last Earnings Report: Can It Continue?,https://images.financialmodelingprep.com/news/genuine-parts-gpc-up-77-since-last-earnings-report-20250522.jpg,zacks.com,Genuine Parts (GPC) reported earnings 30 days ago. What's next for the stock?,https://www.zacks.com/stock/news/2476212/genuine-parts-gpc-up-7-7-since-last-earnings-report-can-it-continue?cid=CS-STOCKNEWSAPI-FT-realtime_blog-2476212
GPC,2025-05-20 15:55:17,"69 May Aristocrats: Buy 1 Of 38 ""Safer"" Dividend Dogs",https://images.financialmodelingprep.com/news/69-may-aristocrats-buy-1-of-38-safer-dividend-20250520.jpg,seekingalpha.com,"Many S&P 500 Dividend Aristocrats remain overvalued, but select high-yield 'Dogs' like Realty Income and Amcor offer attractive entry points for income investors. Analyst forecasts suggest the top ten Aristocrat Dogs could deliver 16% to 38% net gains by May 2026, with average risk below the market. Caution: Fourteen Aristocrats have negative free cash flow margins, making their dividends less secure despite high yields—focus on 'safer' picks like Hormel.",https://seekingalpha.com/article/4788598-69-may-aristocrats-38-safer-dividend-dogs
GPC,2025-05-13 10:22:49,Investing in Genuine Parts (GPC)? Don't Miss Assessing Its International Revenue Trends,https://images.financialmodelingprep.com/news/investing-in-genuine-parts-gpc-dont-miss-assessing-its-20250513.jpg,zacks.com,Examine the evolution of Genuine Parts' (GPC) overseas revenue trends and their effects on Wall Street's forecasts and the stock's prospects.,https://www.zacks.com/stock/news/2468063/investing-in-genuine-parts-gpc-don-t-miss-assessing-its-international-revenue-trends?cid=CS-STOCKNEWSAPI-FT-fundamental_analysis|nfm_international_revenues-2468063
GPC,2025-04-29 08:30:00,Genuine Parts Company Announces Changes to the Board and Declares Regular Quarterly Dividend,https://images.financialmodelingprep.com/news/genuine-parts-company-announces-changes-to-the-board-and-20250429.jpg,prnewswire.com,"ATLANTA , April 29, 2025 /PRNewswire/ -- Genuine Parts Company (NYSE: GPC), a leading global service provider of automotive and industrial replacement parts and value-added solutions, announced that its shareholders elected Ms. Laurie Schupmann as a new director of the company.",https://www.prnewswire.com/news-releases/genuine-parts-company-announces-changes-to-the-board-and-declares-regular-quarterly-dividend-302441194.html
GPC,2025-04-29 02:30:00,Growing Services: Kalmar invests in North American Genuine Parts warehouse,https://images.financialmodelingprep.com/news/growing-services-kalmar-invests-in-north-american-genuine-parts-20250429.jpg,globenewswire.com,"KALMAR CORPORATION, PRESS RELEASE, 29 APRIL 2025 AT 9:30 AM (EEST) Growing Services: Kalmar invests in North American Genuine Parts warehouse  In line with Kalmar's strategy of growing services, Kalmar will be relocating and outsourcing its Genuine Parts warehouse from Ottawa, Kansas to Greenwood, Indiana. The move will lead to improvements in delivery times, customer support as well as enable the further growth of Kalmar's Genuine Parts and Service businesses.",https://www.globenewswire.com/news-release/2025/04/29/3069867/0/en/Growing-Services-Kalmar-invests-in-North-American-Genuine-Parts-warehouse.html
GPC,2025-04-28 11:25:43,3 Stocks to Watch From Auto Parts Retail Industry With Promising Prospects,https://images.financialmodelingprep.com/news/3-stocks-to-watch-from-auto-parts-retail-industry-20250428.jpg,zacks.com,"Auto part retailers like AZO, GPC & AAP are set to benefit from rising demand for replacement parts and expansion efforts.",https://www.zacks.com/commentary/2456861/3-stocks-to-watch-from-auto-parts-retail-industry-with-promising-prospects?cid=CS-STOCKNEWSAPI-FT-industry_outlook-2456861
GPC,2025-04-23 09:58:08,2025 Dividend Kings: Weathering Tariff Volatility Better Than The Market,https://images.financialmodelingprep.com/news/2025-dividend-kings-weathering-tariff-volatility-better-than-the-market-20250423.jpg,seekingalpha.com,"The Dividend Kings are outperforming the S&P 500 in 2025 by 8.94%. Top performers include National Fuel & Gas (+28.88%), Consolidated Edison (+28.10%), and Middlesex Water Company (+21.00%). Promising Dividend Kings identified in March showed relative outperformance, averaging -3.15% vs. -8.16% for SPY.",https://seekingalpha.com/article/4777162-2025-dividend-kings-weathering-tariff-volatility-better-than-the-market
