date,score
2024-06-26,0.0
2024-06-28,0.0
2024-07-13,0.0
2024-07-22,0.4754
2024-07-24,0.2553
2024-07-31,0.0
2024-08-02,0.0
2024-08-12,-0.1531
2024-08-14,0.6705
2024-08-22,0.2202
2024-09-13,0.4767
2024-09-16,-0.34
2024-09-19,0.1531
2024-09-20,0.28595
2024-09-25,0.0
2024-10-01,0.0
2024-10-20,0.296
2024-10-23,0.0
2024-10-24,0.3182
2024-10-30,0.23835
2024-10-31,0.0
2024-11-11,-0.1531
2024-11-29,0.0
2025-01-02,0.0
2025-01-21,0.0
2025-01-23,0.0
2025-01-29,0.1909
2025-02-03,0.0
2025-02-05,0.17020000000000002
2025-02-06,0.0
2025-02-10,0.0
2025-02-13,0.3182
2025-02-20,0.0
2025-02-27,0.0
2025-03-05,0.0
2025-03-07,0.0
2025-03-19,0.0
2025-03-22,0.3818
2025-04-07,0.25
2025-04-08,0.0
2025-04-09,0.0
2025-04-30,0.3818
2025-05-01,0.36005
2025-05-05,0.0
2025-05-07,-0.11333333333333334
2025-05-09,0.0
2025-05-13,0.0
