date,score
2024-06-11,0.6249
2024-06-12,0.0
2024-06-25,0.0
2024-06-26,0.5267
2024-07-01,0.0
2024-07-06,0.5994
2024-07-17,0.0
2024-07-24,-0.17
2024-07-25,0.0516
2024-07-26,0.0
2024-07-28,0.5423
2024-08-12,0.0
2024-08-14,0.5859
2024-08-23,0.0
2024-08-28,0.0
2024-09-02,0.0
2024-09-03,0.6369
2024-09-25,0.6908
2024-09-26,0.7096
2024-10-01,0.0
2024-10-11,0.7269
2024-10-18,0.0
2024-10-23,-0.12040000000000001
2024-10-24,-0.07655
2024-10-25,0.3182
2024-11-14,-0.2023
2024-11-19,0.0
2024-11-22,0.0
2025-01-02,0.0
2025-01-13,0.45204999999999995
2025-01-21,0.3818
2025-01-29,0.0
2025-01-31,0.3182
2025-02-04,-0.2263
2025-02-05,0.0
2025-02-06,0.25943333333333335
2025-02-07,-0.3612
2025-02-14,0.0
2025-02-22,0.0
2025-03-07,0.0
2025-03-13,0.8625
2025-03-27,-0.5719
2025-03-31,0.5267
2025-04-01,0.0
2025-04-04,0.5574
2025-04-07,0.0
2025-04-11,0.0
2025-04-14,0.6597
2025-04-16,0.1909
2025-04-17,0.3612
2025-04-22,0.5859
2025-04-23,-0.20642500000000003
2025-04-24,-0.07655
2025-04-27,0.0
2025-04-28,0.0
2025-04-30,0.0
2025-05-01,0.04626666666666666
2025-05-02,-0.06589999999999999
2025-05-07,0.4404
2025-05-13,-0.5106
2025-05-17,0.3454
2025-05-23,0.0
2025-05-27,0.0
2025-05-28,0.0
2025-06-02,0.5859
2025-06-04,0.3089
2025-06-06,0.0
2025-06-10,0.0
