symbol,publishedDate,title,image,site,text,url
SONY,2025-06-05 13:15:57,Can Sony and Honda Take On Tesla?,https://images.financialmodelingprep.com/news/can-sony-and-honda-take-on-tesla-20250605.jpg,youtube.com,Honda and Sony are teaming up to enter the EV race. The AFEELA 1 is expected to start deliveries next year.,https://www.youtube.com/watch?v=jCEsjk1r4j0
SONY,2025-06-05 10:35:22,Brokers Suggest Investing in Sony (SONY): Read This Before Placing a Bet,https://images.financialmodelingprep.com/news/brokers-suggest-investing-in-sony-sony-read-this-before-20250605.jpg,zacks.com,"When deciding whether to buy, sell, or hold a stock, investors often rely on analyst recommendations. Media reports about rating changes by these brokerage-firm-employed (or sell-side) analysts often influence a stock's price, but are they really important?",https://www.zacks.com/stock/news/2485683/brokers-suggest-investing-in-sony-sony-read-this-before-placing-a-bet?cid=CS-STOCKNEWSAPI-FT-fundamental_analysis|average_broker_rating-2485683
SONY,2025-06-02 17:26:00,"Universal, Warner and Sony Are Negotiating AI Licensing Rights for Music",https://images.financialmodelingprep.com/news/universal-warner-and-sony-are-negotiating-ai-licensing-rights-20250602.jpg,wsj.com,The talks with AI startups concern how the labels—and their artists—would get paid for music's use in generative AI models.,https://www.wsj.com/business/media/ai-music-licensing-universal-warner-sony-92bcbc0d
SONY,2025-05-29 03:51:34,Sony says financial arm spin-off will secure fundraising capabilities,https://images.financialmodelingprep.com/news/sony-says-financial-arm-spinoff-will-secure-fundraising-capabilities-20250529.jpg,reuters.com,Sony's CEO said on Thursday the spin-off of the financial services arm will secure that business its own fundraising capabilities.,https://www.reuters.com/business/sony-says-financial-arm-spin-off-will-secure-fundraising-capabilities-2025-05-29/
SONY,2025-05-27 17:42:00,Why Sony Stock Spiked Today,https://images.financialmodelingprep.com/news/why-sony-stock-spiked-today-20250527.jpg,fool.com,Shares of Sony Group (SONY 3.94%) rose on Tuesday. The company's stock was up 4% by the time the market closed.,https://www.fool.com/investing/2025/05/27/why-sony-stock-spiked-today/
SONY,2025-05-27 02:44:51,Sony to reportedly outline financial arm strategy ahead of spin-off,https://images.financialmodelingprep.com/news/sony-to-reportedly-outline-financial-arm-strategy-ahead-of-20250527.jpg,proactiveinvestors.co.uk,"Sony Group Corp (NYSE:SONY) will on Thursday present plans for the growth of its financial unit, ahead of a spin-off set for September. According to Reuters, the group will distribute just over 80% of Sony Financial Group shares to investors via dividends in kind, retaining a stake of just under 20%.",https://www.proactiveinvestors.co.uk/companies/news/1071877
SONY,2025-05-27 01:30:01,Sony to make case for finance arm spin-off in latest corporate transformation,https://images.financialmodelingprep.com/news/sony-to-make-case-for-finance-arm-spinoff-in-20250527.jpg,reuters.com,Sony will on Thursday lay out the growth strategy for its financial arm set for a spin-off that has been welcomed by investors as marking the latest chapter in the company's transformation.,https://www.reuters.com/world/asia-pacific/sony-make-case-finance-arm-spin-off-latest-corporate-transformation-2025-05-27/
SONY,2025-05-21 04:25:00,"The Best Stocks to Invest $50,000 in Right Now",https://images.financialmodelingprep.com/news/the-best-stocks-to-invest-50000-in-right-now-20250521.jpg,fool.com,"Deciding how to invest a lump sum of cash -- say, $50,000 -- is difficult.",https://www.fool.com/investing/2025/05/21/the-best-stocks-to-invest-50000-in-right-now/
SONY,2025-05-20 10:35:14,Wall Street Bulls Look Optimistic About Sony (SONY): Should You Buy?,https://images.financialmodelingprep.com/news/wall-street-bulls-look-optimistic-about-sony-sony-should-20250520.jpg,zacks.com,"When deciding whether to buy, sell, or hold a stock, investors often rely on analyst recommendations. Media reports about rating changes by these brokerage-firm-employed (or sell-side) analysts often influence a stock's price, but are they really important?",https://www.zacks.com/stock/news/2474579/wall-street-bulls-look-optimistic-about-sony-sony-should-you-buy?cid=CS-STOCKNEWSAPI-FT-fundamental_analysis|average_broker_rating-2474579
SONY,2025-05-14 14:51:27,Sony: Lackluster Performance May Be Followed By Another Similar Year,https://images.financialmodelingprep.com/news/sony-lackluster-performance-may-be-followed-by-another-similar-20250514.jpg,seekingalpha.com,"Sony Group Corporation's FY24 results were mixed, with flat operations excluding financial services and declining PS5 sales, but strong profitability in core segments. Tariff risks and weak PS5 outlook weigh on guidance, with management expecting flat operating income and lower net income for the coming year. Imaging & Sensing Solutions remains a bright spot, projected to grow despite currency and tariff headwinds, while gaming faces ongoing challenges.",https://seekingalpha.com/article/4786713-sony-lackluster-performance-may-be-followed-by-another-similar-year
