Ticker,Same Day Correlation,7D MA Correlation,Optimal Lag Days,Optimal Lag Correlation,R-squared,P-value,Data Points
NVDA,0.075,0.307,-12,0.668,0.006,0.7151,26
MSFT,0.375,0.706,1,0.432,0.141,0.0008,77
AAPL,0.232,0.17,-12,0.298,0.054,0.1732,36
AVGO,-0.054,-0.234,15,0.045,0.003,0.5239,143
ORCL,0.025,0.084,8,0.11,0.001,0.719,216
PLTR,-0.014,0.038,13,0.203,0.0,0.8951,86
CSCO,0.15,0.291,14,0.234,0.022,0.0401,188
CRM,0.3,0.435,-10,0.352,0.09,0.0,231
IBM,-0.074,-0.134,11,0.031,0.005,0.2792,218
INTU,-0.085,-0.048,-13,0.198,0.007,0.3056,147
NOW,0.004,0.041,15,0.062,0.0,0.9614,187
ACN,-0.036,-0.008,15,0.076,0.001,0.6592,153
AMD,0.098,0.234,1,0.134,0.01,0.2682,130
TXN,0.185,-0.048,-14,0.29,0.034,0.0329,133
ADBE,-0.134,-0.253,N/A,N/A,0.018,0.0567,202
UBER,-0.057,-0.195,-9,0.039,0.003,0.4471,178
QCOM,0.142,0.322,15,0.221,0.02,0.0359,217
TSM,0.126,0.199,1,0.141,0.016,0.1152,158
SHOP,0.103,0.117,-5,0.147,0.011,0.1491,199
SONY,0.176,0.351,2,0.2,0.031,0.048,127
ADP,0.158,0.288,-12,0.328,0.025,0.1195,99
INTC,0.023,0.142,5,0.118,0.001,0.7811,143
DELL,0.157,0.311,11,0.192,0.025,0.0292,193
SNPS,0.287,0.515,10,0.397,0.082,0.001,129
INFY,-0.11,-0.24,N/A,N/A,0.012,0.2904,94
MSTR,-0.043,-0.068,N/A,N/A,0.002,0.5324,210
