symbol,publishedDate,title,image,site,text,url
TSLA,2025-06-10 04:35:00,Tesla Stock Is Rising. Trump and Musk Are Making Up.,https://images.financialmodelingprep.com/news/tesla-stock-is-rising-trump-and-musk-are-making-20250610.jpg,barrons.com,"With the Trump-Musk feud losing steam, investor attention will turn to Austin, Texas, and Tesla's self-driving cars.",https://www.barrons.com/articles/tesla-stock-trump-musk-self-driving-ai-3b084721
TSLA,2025-06-10 01:30:20,Tesla: A Unique Opportunity To Buy The Drop (Again),https://images.financialmodelingprep.com/news/tesla-a-unique-opportunity-to-buy-the-drop-again-20250610.jpg,seekingalpha.com,"Tesla shares have dropped due to political tensions lately as well as weak China sales, but this creates a new buying opportunity. Despite BYD cutting prices in China, Tesla and BYD are able to withstand pricing pressures, given their relatively high margins. The refreshed, lower-cost Model Y 'Juniper' is a key catalyst that could drive a rebound in Tesla's deliveries, especially among younger buyers.",https://seekingalpha.com/article/4793585-tesla-stock-unique-opportunity-buy-the-drop-again
TSLA,2025-06-10 01:05:34,"Insight: Why China's auto, tech giants threaten Tesla's self-driving future",https://images.financialmodelingprep.com/news/insight-why-chinas-auto-tech-giants-threaten-teslas-selfdriving-20250610.jpg,reuters.com,"Chinese electric-vehicle makers led by BYD beat Tesla in the competition to produce affordable electric vehicles. Now, many of those same fierce competitors are pulling into the passing lane in the global race to produce self-driving cars.",https://www.reuters.com/business/autos-transportation/why-chinas-auto-tech-giants-threaten-teslas-self-driving-future-2025-06-10/
TSLA,2025-06-09 19:30:37,What retail investors are buying and selling,https://images.financialmodelingprep.com/news/what-retail-investors-are-buying-and-selling-20250609.jpg,youtube.com,"Charles Schwab's client surveys have been showing a trend: retail investors are turning away from individual names and buying ETFs. In the video above, Charles Schwab head trading and derivatives strategist Joe Mazzola explains why the phenomenon may be occurring.",https://www.youtube.com/watch?v=fUVUIZcG6BQ
TSLA,2025-06-09 17:57:37,"Tesla faces a lot of short-term challenges, says fmr. Ford CEO Mark Fields",https://images.financialmodelingprep.com/news/tesla-faces-a-lot-of-shortterm-challenges-says-fmr-20250609.jpg,youtube.com,"Mark Fields, fmr. Ford CEO, joins 'Fast Money' to talk Tesla's downgrade on Wall Street, what is next for Ford, and more.",https://www.youtube.com/watch?v=xg4SUG9aBYk
TSLA,2025-06-09 14:33:53,EXCLUSIVE: Should Musk Be Fired From Tesla After Trump Feud? 45% Say This In New Poll,https://images.financialmodelingprep.com/news/exclusive-should-musk-be-fired-from-tesla-after-trump-20250609.jpg,benzinga.com,"The bad news for Tesla Inc TSLA and its shareholders continues in 2025, with a highly public feud between CEO Elon Musk and President Donald Trump adding to question marks like demand, brand damage, and robotaxis.",https://www.benzinga.com/news/politics/25/06/45845525/exclusive-should-musk-be-fired-from-tesla-after-trump-feud-45-say-this-in-new-poll
TSLA,2025-06-09 14:10:21,Tesla Among S&P's Big Losers: Q1 EPS Miss Puts TSLA In Bottom 10,https://images.financialmodelingprep.com/news/tesla-among-sps-big-losers-q1-eps-miss-puts-20250609.jpg,benzinga.com,Tesla Inc TSLA has quietly joined the ranks of the S&P 500 's biggest EPS disappointments in the first quarter.,https://www.benzinga.com/markets/tech/25/06/45844984/tesla-among-sps-big-losers-q1-eps-miss-puts-tsla-in-bottom-10
TSLA,2025-06-09 14:03:19,Will Trump “Consequences” Break Tesla?,https://images.financialmodelingprep.com/news/will-trump-consequences-break-tesla-20250609.jpg,https://247wallst.com,"President Donald Trump says Elon Musk will face “very serious consequences” if he provides financial backing to Democrats who challenge Republicans who support the One Big Beautiful Bill Act (OBBB). The bill includes the President&#8217;s national budget and other government policies that he has created and supported. Key Points Elon Musk May Back Candidates That Are Democrats Trump Could Take Revenge On Tesla Take this quiz to see if you’re on track to retire. (sponsored) A plan to back Democrats would likely mean Musk would fund their campaigns in elections that pit them against Republicans in House and Senate races next year. Musk supported Republicans in the same way in the 2024 election. What Tesla (NASDAQ: TSLA) investors should fear is that Trump will attack America’s largest EV company. Trump might also financially damage SpaceX, the huge rocket company that has billions of dollars in federal government contracts. Tesla has several connections to the federal government, which some Trump officials might target. Among the primary ones is almost certainly dropping the $7,500 tax break for people who buy most electric vehicles (EVs). That move was certainly months ago and is likely priced into Tesla’s shares today. Tesla may be affected by China tariffs that add 25% to goods imported from China. Those tariffs are currently on hold, but if they take effect, they will impact parts and batteries that Tesla needs in the U.S. to manufacture its vehicles. As is true with other car companies, Tesla would need to accept lower margins or pass the costs on to customers. It is too early to tell if the potential higher prices would affect demand for Teslas. Tesla might have to raise prices by hundreds or thousands of dollars to protect its operating income. Rules for full self-driving cars are set by cities and states today. There has always been a chance that this would be moved to the federal government level. It is the only way to have standard rules across the entire country. Tesla’s self-driving technology differs from that of competitors, such as Alphabet&#8217;s (NASDAQ: GOOG) Waymo. Rules unfavorable to Tesla’s products could allow its competition to advance plans to install them widely in cars. The SEC has investigated Musk before. For example, Musk tweeted in 2018 that Tesla would go private at a share price much higher than it was at that point. The SEC called the tweet “false and misleading.” In May 2024, according to Reuters, “Tesla’s Autopilot and Full Self-Driving systems assist with steering, braking and lane changes &#8211; but are not fully autonomous. While Tesla has warned drivers to stay ready to take over driving, the Justice Department is examining other statements by Tesla and Chief Executive Elon Musk suggesting its cars can drive themselves.” There is also a theory that the government could probe Musk’s drug use, which many media outlets have described. Tesla has often been described as a risky investment. That risk has grown. The post Will Trump &#8220;Consequences&#8221; Break Tesla? appeared first on 24/7 Wall St..",https://247wallst.com/cars-and-drivers/2025/06/08/will-trump-consequences-break-tesla/
TSLA,2025-06-09 14:03:19,"Tesla (NASDAQ: TSLA) Bull, Base, & Bear Price Prediction and Forecast",https://images.financialmodelingprep.com/news/tesla-nasdaq-tsla-bull-base-bear-price-prediction-and-20250609.jpg,https://247wallst.com,"Shares of Tesla Inc. (NASDAQ:TSLA) lost 14.11% over the past five days as the fall-out between CEO Elon Musk and President Trump continues. After rebounding 63.57% from its year-to-date low on April 8 through May 27, the stock is down 18.67%. Last Monday, reports of the company&#8217;s sales in Europe continuing to collapse made the rounds, further fueling the sell-off. Since hitting its all-time high on Dec. 17, 2024, TSLA has lost nearly 38.49%. In early May, it was reported that Tesla has around $800 million worth of Cybertrucks stuck on lots. It was also reported this month that, in addition to collapsing sales in Europe broadly, Tesla has seen sales in Sweden plunges 80.7%. In April, it was reported that Tesla now accounts for fewer than 50% of EV sales in California. After absorbing enormous losses, Elon Musk&#8217;s EV empire fell outside of the $1 trillion club, but as of May 19, the company&#8217;s market cap stands at $1.09 trillion. Nonetheless, questions linger as to whether the company&#8217;s most ambitious of growth drivers (think Cybercab and Optimus humanoid robot, both of which were featured at the company&#8217;s robotaxi event last year) will bear fruit sooner rather than later. Indeed, Tesla&#8217;s stock has gone through vicious crashes before. And while the stock may not be ready to shift gears from reverse to forward, I do think that a worsening of its latest drawdown could prove a significant buying opportunity, given the chance its drivers could pay off at some point over the medium term. Undoubtedly, the bears may be winning the tug-of-war on the stock now, as Elon Musk&#8217;s role at DOGE (Department of Government Efficiency) becomes old news as hype surrounding Musk&#8217;s friendship with Trump begins to fade. However, with EV competition mounting and a Jeff Bezos-backed startup entering the scene, Tesla&#8217;s outlook remains clouded. In any case, 24/7 Wall St. dove into the lengthy list of drivers and potholes that investors should look forward to (or fasten their seatbelts for) in the coming year and beyond. Let&#8217;s check out a bull, bear, and base case for the EV titan and have a glimpse at the varied viewpoints of multiple Wall Street pros. In fact, Tesla stock has a ton of table-pounding bulls in addition to massive bears. While not everyone is the biggest fan of Elon Musk, I do think it&#8217;s a mistake to discount his ability to keep running with the ball into the endzone with disruptive innovations that, while costly in the near term, could prove revolutionary over the longer term. Key Points in This Article: Tesla remains the leader of the EV revolution, dominating global market share despite the stock&#8217;s recent struggles. The company faces numerous headwinds, which could ultimately impact its long-term performance. If you’re looking for a megatrend with massive potential, make sure to grab a complimentary copy of our “The Next NVIDIA” report. The report includes a complete industry map of AI investments that includes many small caps. Tesla&#8217;s Top Two Growth Drivers Are Still Humming Along For a stock that&#8217;s fallen significantly, I&#8217;d expect the growth narrative to have been severely impacted. Tesla&#8217;s latest quarterly earnings results were not incredible. Yet, I do think that the sell-off is mostly a mere correction to make up for the euphoric melt-up experienced in the back half of last year. Indeed, investors got too far ahead of themselves when it came to Tesla&#8217;s most ambitious growth drivers. Now that investors are taking a step back, we&#8217;ll have to wait and see if Tesla can advance such drivers meaningfully. Undoubtedly, Tesla has a front-row seat to the AI revolution. More specifically, it&#8217;s one of the frontrunners in physical AI (or robotics, if you prefer). In a prior piece, I highlighted Wall Street analyst Adam Jonas&#8217; view that TSLA stock was akin to an embodied &#8220;AI ETF&#8221; given the numerous AI projects going on behind the scenes. Though Tesla&#8217;s AI efforts are exciting, it&#8217;s important to note that being too soon to a trend could have a drastic negative impact on the stock. As investors reset expectations and become more critical of how firms spend money on AI, Tesla will need to deliver more substance if it&#8217;s to convince investors to punch their ticket to the stock well ahead of time. Personally, I think Tesla&#8217;s been investing in the right areas, but will competitors beat Tesla to market in certain categories? The most notable drivers, I believe, that will drive Tesla stock in the coming years are the Cybertruck (as well as self-driving capabilities and the impact on the robotaxi market) and its Optimus robot. Of course, there&#8217;s also the rumored &#8220;Model Q&#8221; entry-level offering. But until we get more clarity on that driver, I consider it to be more of a &#8220;wild card.&#8221; Bull Case for Tesla&#8217;s Share Price Cybertruck: The Cybertruck stole the show during Tesla&#8217;s robotaxi event. While it would be a sci-fi dream for many to have a fairly reasonably priced robotaxi producing passive income for its owners, I do think Musk&#8217;s vision of the robotaxi future could be a reality within Trump&#8217;s term. Of course, a more realistic timeframe would put such a future more than 10 years out. However, if Tesla can floor it on full self-driving (FSD) efforts, perhaps such a future could be closer to the present. There&#8217;s a great deal of uncertainty with FSD, given the technical and regulatory unknowns. Either way, I view Musk&#8217;s friendship with Trump as a boon for a Cybertruck rollout under his administration. If Cybertruck expands its presence and becomes a hit within years rather than decades, TSLA stock could prove a bargain, given all that there is to gain. The big question, though, is how Cybercab will hold its own as Waymo pushes ahead with its impressive offering. Given robotaxis, like generative AI, are unlikely to be a &#8220;winner takes all&#8221; market, I think there&#8217;s no reason why both robotaxi offerings can&#8217;t win big from prime-time adoption of self-driving. Another big question to consider is whether consumers will be interested in buying up Cybercabs to have them rolling around on the streets as ride-hailers. I think the business could prove quite lucrative for buyers and Tesla&#8217;s margins over the long haul. After all, it can sell the car and continue to build a ride-hailing network while profiting from use of a ride-hailing app of sorts. Cathie Wood thinks autonomous ride-hailing could represent a multi-trillion-dollar opportunity. If Tesla can get a nice slice, Wood sees TSLA stock at $2,600 per share by 2029. Personally, I think the bull case (for the year ahead) could see TSLA at around $550 per share — or 86.35% higher than where the stock is trading today. That target is shared by Wedbush Securities&#8217; Dan Ives, one of my favorite analysts in tech. Optimus: Optimus was a nice addition to the robotaxis event as it amused attendees. But the big question is how much potential the robot has once it&#8217;s ready to go on sale to the general public. Undoubtedly, Tesla isn&#8217;t the only one getting into the robotics game. Many Mag Seven members also investing heavily in home robots. While more rivals in home robots could be a threat to Optimus, I view it as more of a confirmation that there is a place in the home for such profound innovations. As for the home robotics market, I do see 2026 as a tad overly optimistic for a launch. However, if robot &#8220;friends&#8221; do arrive by 2030, I think Tesla&#8217;s growth rate could reaccelerate back to or even above 25% to 30% for some amount of time. Bear Case for Tesla&#8217;s Share Price Cybertruck: Undoubtedly, there&#8217;s still a lot of work to do before Cybertruck makes an impact on the car market. FSD capabilities need to step things up and the vehicle needs to be made in a way that won&#8217;t break the bank. These are big asks. Some bears have doubts about whether the firm can execute the opportunity. In late March, the company announced that it was recalling nearly every Cybertruck due to a potential crash risk. This was an enormous blow to Musk&#8217;s ambitions for the EV, which has already been subjected to harsh criticism about its perceived shortcomings among owners. Analysts&#8217; Downgrades: Ross Gerber, who previously owned shares, has sold out with the view a 50% crash would be in store for 2025. He also thinks FSD &#8220;doesn&#8217;t work.&#8221; If true, that&#8217;s a gut punch to Tesla&#8217;s biggest growth driver. Either way, there&#8217;s not too much room lower with TSLA now off 40%. With Guggenheim labeling TSLA stock as a &#8220;Sell&#8221; with a $175 target, I&#8217;d brace for even more pain if the market sell-off intensifies. That price target represents additional downside potential of 40.70% from today&#8217;s share price. On June 9, Argus downgraded Tesla to &#8220;Hold&#8221; from &#8220;Buy,&#8221; stating that the stock appears to currently be trading on non-fundamental events, specifically the worsening tiff between Trump and Musk. Bad Press: Musk&#8217;s deteriorated image at the hands of his federal government involvement with DOGE aside, Tesla has continued to bear the brunt of bad news. In late 2024, it was widely reported that the EV maker was the most dangerous vehicle brand, with the number of deaths among all automakers, according to the Insurance Institute of Highway Safety. According to the study, Tesla has a fatal accident rate of 5.6 per billion vehicle miles, compared to the overall average of just 2.8. Additionally, ongoing protests against the brand — including vandalism and arson — have occurred around the globe, from Italy and France to numerous states in the U.S. Optimus: Even if home robots are on the horizon, good luck asking consumers to spend thousands on a proven technology. Indeed, if Vision Pro taught us anything, it&#8217;s that being an early adopter is expensive and probably not the best use of funds. Either way, I&#8217;d much rather wait and see how the robot ambitions pan out before getting too excited at this stage. Insider &amp; Institutional Activity: There&#8217;s an old adage on Wall Street that suggests investors should &#8220;follow the money.&#8221; If that&#8217;s the current case for Tesla, money is flowing out. In fact, over the past 12 years, no one single share of TSLA has been purchased by insiders (e.g., the company&#8217;s executives, directors or anyone who owns 10% or more of the company), according to Nasdaq.com. Data from Finviz supports this, even showing that Musk himself, as well as his brother, have been offloading shares since late 2024. Additionally, institutional ownership has now decreased to just 48.77%. In total, 480 institutional investors have entirely liquidated their Tesla positions, with 1,897 institutional holders having decreased their positions versus 2,018 having increased them. Price Targets: In April, Goldman Sachs lowered its price target on Tesla to $260 from $275 while maintaining a neutral rating. The firm reduced its auto industry outlook and estimates, saying it will be difficult for the auto industry to fully pass on tariff costs, especially given softening consumer demand. Nonetheless, Goldman Sachs&#8217; one-year price target represents downside potential of 11.90% from today&#8217;s price. Increased competition: Also in April, a Jeff Bezos-backed EV company called Slate unveiled affordable EV truck and SUV models that cost $20,000 after federal incentives. The company has billed itself as the &#8220;anti-Tesla,&#8221; and is made in the U.S. As Tesla&#8217;s market share has fallen under 50% in EV-friendly California, the arrival of Slate could continue to erode sales. Base Case for Tesla&#8217;s Share Price The base case for Tesla lies somewhere in between the two extremes. Wall Street analysts have assigned TSLA a median one-year price target of $281.77, or 4.53% potential downside from today&#8217;s price. Meanwhile, the high-end target is $500 and the low-end target is $19.05. I&#8217;m inclined to view the $300 level as a fair-value level for the stock. Much of Tesla&#8217;s story depends on its big growth drivers. In the meantime, EV sales and the rise of more affordable models (Model Q) could be nearer-term stories to look forward to as one waits for the biggest of drivers to pay off. At the time of writing, TSLA stock goes for 140.85 times forward price-to-earnings (P/E) and 8.28 times froward price-to-sales (P/S). That makes the name slightly undervalued, at least in my view. The post Tesla (NASDAQ: TSLA) Bull, Base, &#038; Bear Price Prediction and Forecast appeared first on 24/7 Wall St..",https://247wallst.com/forecasts/2025/06/09/tesla-tsla-bull-base-bear-price-prediction-and-forecast/
TSLA,2025-06-09 13:59:31,"S&P 500 enters record territory, how inflation moves markets, Tesla's robotaxi",https://images.financialmodelingprep.com/news/sp-500-enters-record-territory-how-inflation-moves-markets-20250609.jpg,youtube.com,"Catalyst anchor Madison Mills breaks down market movers for June 9, 2025. Trade talks are in focus as US and Chinese trade officials meet in London.",https://www.youtube.com/watch?v=DxRZtICvXs4
