date,score
2024-06-12,0.7506
2024-06-13,0.34
2024-06-17,-0.098
2024-06-19,0.5859
2024-06-20,0.48385
2024-06-24,0.62795
2024-06-25,0.46946666666666664
2024-06-26,0.0
2024-06-28,0.5423
2024-06-29,0.5994
2024-07-01,-0.0516
2024-07-06,0.5789
2024-07-11,0.5859
2024-07-12,0.6369
2024-07-13,0.29295
2024-07-17,0.0
2024-07-18,0.5859
2024-07-23,0.4404
2024-07-24,-0.1027
2024-07-25,0.47672499999999995
2024-07-30,0.092
2024-08-01,0.3818
2024-08-02,0.6908
2024-08-05,0.0
2024-08-06,0.7351
2024-08-07,0.0
2024-08-08,0.7845
2024-08-14,0.6285999999999999
2024-08-15,0.31412
2024-08-16,0.46295
2024-08-18,0.765
2024-08-19,0.5859
2024-08-21,0.29295
2024-08-22,0.4575
2024-08-23,0.3346
2024-08-24,0.0
2024-08-26,0.04159999999999999
2024-08-27,0.34635
2024-08-28,0.31592499999999996
2024-08-29,0.2
2024-08-30,0.09952857142857141
2024-09-03,0.4215
2024-09-04,0.4348666666666667
2024-09-05,0.5211
2024-09-06,0.0
2024-09-07,0.296
2024-09-08,0.0
2024-09-09,0.46295
2024-09-10,0.5859
2024-09-12,0.125
2024-09-13,0.6486
2024-09-14,0.0
2024-09-17,-0.1909
2024-09-18,0.5859
2024-09-19,0.0
2024-09-23,0.31245
2024-09-24,0.5859
2024-09-25,0.0
2024-09-26,0.5859
2024-09-30,0.3818
2024-10-03,0.7096
2024-10-06,0.3818
2024-10-09,0.0
2024-10-11,0.4704
2024-10-12,0.4767
2024-10-14,0.5859
2024-10-16,0.7793000000000001
2024-10-17,0.44816
2024-10-21,0.6605
2024-10-24,0.8316
2024-10-25,0.5859
2024-10-26,0.14435
2024-10-28,0.6908
2024-11-01,0.0258
2024-11-05,0.7351
2024-11-11,0.7351
2024-11-12,0.48385
2024-11-15,0.7184
2024-11-16,0.6124
2024-11-17,0.5859
2024-11-21,0.5859
2024-11-24,-0.1027
2024-11-25,0.11986666666666666
2024-11-26,0.765
2024-11-27,0.3819
2024-11-28,-0.20095
2024-11-29,0.5859
2024-12-01,0.5859
2024-12-02,0.41355
2024-12-03,0.5859
2024-12-05,0.5680666666666666
2024-12-06,0.5226
2024-12-09,0.6027
2024-12-11,0.5859
2024-12-19,0.6124
2024-12-23,0.743
2024-12-24,0.0
2024-12-27,0.0
2024-12-28,0.5859
2024-12-29,0.5859
2025-01-02,0.5267
2025-01-06,0.6485
2025-01-07,0.495325
2025-01-08,0.7506
2025-01-09,0.5859
2025-01-10,0.7906
2025-01-11,0.10115
2025-01-12,0.5859
2025-01-16,0.8271
2025-01-18,0.2732
2025-01-20,0.5859
2025-01-22,-0.006750000000000034
2025-01-26,0.0
2025-01-28,0.7399333333333334
2025-01-30,0.5859
2025-01-31,0.5859
2025-02-01,0.3818
2025-02-05,0.743
2025-02-07,-0.1513
2025-02-11,0.0
2025-02-13,0.36756666666666665
2025-02-14,0.7505999999999999
2025-02-18,0.886
2025-02-20,0.4593
2025-02-25,0.2023
2025-02-26,0.6808
2025-02-27,0.5859
2025-03-01,0.5859
2025-03-02,0.8588
2025-03-04,0.0
2025-03-06,0.66825
2025-03-10,0.5859
2025-03-11,-0.144
2025-03-13,0.5010538461538462
2025-03-14,0.39282
2025-03-22,0.0
2025-04-01,-0.5527666666666667
2025-04-03,0.5859
2025-04-07,0.5859
2025-04-08,0.6249
2025-04-11,0.41795
2025-04-15,0.0
2025-04-17,0.69665
2025-04-21,0.5859
2025-04-23,0.7351
2025-04-25,0.5859
2025-04-29,0.5859
2025-04-30,0.6908
2025-05-06,0.7089
2025-05-08,0.5859
2025-05-13,0.765
2025-05-15,0.5859
2025-05-19,0.29295
2025-05-22,0.5859
2025-05-23,0.24503333333333333
2025-05-27,0.0
2025-05-28,0.5859
2025-05-29,0.3906
2025-05-30,0.43645
2025-06-02,0.72265
2025-06-03,0.0
2025-06-04,0.07236666666666663
2025-06-05,0.418
2025-06-06,0.66045
2025-06-10,0.5859
