Date,Product_ID,Product_Name,Transaction_Type,Units,Cumulative_Quantity
2017-02-28,1046609,GEELY AUTOMOBILE HOLDINGS LTD,BUY,1660351.0,1660351.0
2017-02-28,1046637,SHENZHOU INTERNATIONAL GROUP LTD,BUY,334401.0,334401.0
2017-02-28,1009161,PetroChina Co. Ltd.,BUY,2677923.0,2677923.0
2017-02-28,1046334,NEW CHINA LIFE INSURANCE (H),BUY,288013.0,288013.0
2017-02-28,1009156,China Life Insurance Co. Ltd.,BUY,515020.0,515020.0
2017-02-28,1046261,HAITONG SECURITIES CO LTD-H,BUY,987494.0,987494.0
2017-02-28,1046685,CHINA GALAXY SECURITIES CLS H LTD,BUY,2314177.0,2314177.0
2017-02-28,1009467,China Construction Bank Corporation,BUY,2488905.0,2488905.0
2017-02-28,1046397,AIR CHINA LTD-H,BUY,1139754.0,1139754.0
2017-02-28,1046605,BEIJING ENTERPRISES HOLDINGS LTD.,BUY,128028.0,128028.0
2017-02-28,1046481,KINGSOFT CORP LTD,BUY,1276362.0,1276362.0
2017-02-28,1046154,NETEASE ADR REPRESENTING INC,BUY,7507.0,7507.0
2017-02-28,1012346,YY Inc,BUY,68187.0,68187.0
2017-02-28,1046198,AAC TECHNOLOGIES HOLDINGS IN,BUY,187903.0,187903.0
2017-02-28,1009493,"Baidu, Inc",BUY,13438.0,13438.0
2017-02-28,1046453,GUANGZHOU R&F PROPERTIES - H,BUY,1592147.0,1592147.0
2017-02-28,1009157,China Unicom (Hong Kong) Limited,BUY,1668320.0,1668320.0
2017-02-28,1046229,CHINA TELECOM CORP LTD-H,BUY,4846156.0,4846156.0
2017-02-28,1009169,HSBC Holdings PLC,BUY,258190.0,258190.0
2017-02-28,1046164,BOC HONG KONG HOLDINGS LTD,BUY,520576.0,520576.0
2017-02-28,1009174,Cheung Kong (Holdings) Limited,BUY,160178.0,160178.0
2017-02-28,1046142,SUN HUNG KAI PROPERTIES,BUY,130555.0,130555.0
2017-02-28,1046241,NEW WORLD DEVELOPMENT,BUY,1496641.0,1496641.0
2017-02-28,1046653,WHEELOCK AND LTD,BUY,342925.0,342925.0
2017-02-28,1046148,POWER ASSETS HOLDINGS LTD,BUY,238368.0,238368.0
2017-02-28,1046381,SHIN KONG FINANCIAL HOLDING,BUY,8010312.0,8010312.0
2017-02-28,1046633,YUANTA FINANCIAL HOLDING CO. LTD.,BUY,4439763.0,4439763.0
2017-02-28,1046572,NANYA TECHNOLOGY CORP,BUY,1057086.0,1057086.0
2017-02-28,1046679,INNOLUX CORP,BUY,4567704.0,4567704.0
2017-02-28,1046269,UNITED MICROELECTRONICS CORP,BUY,5597677.0,5597677.0
2017-02-28,1046439,POWERTECH TECHNOLOGY INC,BUY,869692.0,869692.0
2017-02-28,1046601,LITE-ON TECHNOLOGY CORP.,BUY,1440061.0,1440061.0
2017-02-28,1046415,PHISON ELECTRONICS CORP,BUY,256765.0,256765.0
2017-02-28,1046182,NAN YA PLASTICS CORP.,BUY,806962.0,806962.0
2017-03-31,1046653,WHEELOCK AND LTD,SELL,342925.0,0.0
2017-03-31,1046481,KINGSOFT CORP LTD,SELL,1276362.0,0.0
2017-03-31,1046124,Tencent Holdings Ltd,BUY,122264.0,122264.0
2017-03-31,1046129,LINK REAL ESTATE INVESTMENT TRUST,BUY,385954.0,385954.0
2017-04-14,1046679,INNOLUX CORP,SELL,4567704.0,0.0
2017-04-14,1046272,CATCHER TECHNOLOGY CO LTD,BUY,223029.0,223029.0
2017-04-14,1046453,GUANGZHOU R&F PROPERTIES - H,SELL,1592147.0,0.0
2017-04-14,1046639,EVERGRANDE REAL ESTATE GROUP LTD.,BUY,2638831.0,2638831.0
2017-05-02,1046198,AAC TECHNOLOGIES HOLDINGS IN,SELL,187903.0,0.0
2017-05-02,1046552,ZTE CORP-H,BUY,1437970.0,1437970.0
2017-05-02,1046261,HAITONG SECURITIES CO LTD-H,SELL,987494.0,0.0
2017-05-02,1009156,China Life Insurance Co. Ltd.,BUY,532765.0,1047785.0
2017-05-02,1046154,NETEASE ADR REPRESENTING INC,SELL,7507.0,0.0
2017-05-02,1046552,ZTE CORP-H,BUY,1050286.0,2488256.0
2017-05-15,1012346,YY Inc,SELL,68187.0,0.0
2017-05-15,1046477,TRAVELSKY TECHNOLOGY LTD-H,BUY,1370437.0,1370437.0
2017-05-15,1009161,PetroChina Co. Ltd.,SELL,2677923.0,0.0
2017-05-15,1009164,China Petroleum & Chemical Corp,BUY,2201776.0,2201776.0
2017-05-15,1046685,CHINA GALAXY SECURITIES CLS H LTD,SELL,2314177.0,0.0
2017-05-15,1046333,CHINA TAIPING INSURANCE HOLD,BUY,816055.0,816055.0
2017-05-15,1046605,BEIJING ENTERPRISES HOLDINGS LTD.,SELL,128028.0,0.0
2017-05-15,1046444,WEICHAI POWER CO LTD-H,BUY,367594.0,367594.0
2017-05-31,1046415,PHISON ELECTRONICS CORP,SELL,256765.0,0.0
2017-05-31,1046639,EVERGRANDE REAL ESTATE GROUP LTD.,SELL,2638831.0,0.0
2017-05-31,1046326,CHINA VANKE LTD H,BUY,1777910.0,1777910.0
2017-05-31,1046304,PEGATRON CORP,BUY,899526.0,899526.0
2017-06-16,1046609,GEELY AUTOMOBILE HOLDINGS LTD,SELL,1660351.0,0.0
2017-06-16,1046146,JD.COM ADR REPRESENTING INC CLASS,BUY,79311.0,79311.0
2017-06-16,1046601,LITE-ON TECHNOLOGY CORP.,BUY,1628280.0,3068341.0
2017-06-30,1046678,CHINA RAILWAY CONSTRUCTION CORP LT,BUY,912581.0,912581.0
2017-07-31,1046169,LARGAN PRECISION LTD,BUY,12228.0,12228.0
2017-09-01,1046552,ZTE CORP-H,SELL,1437970.0,1050286.0
2017-09-01,1046552,ZTE CORP-H,SELL,1050286.0,0.0
2017-09-01,1009493,"Baidu, Inc",BUY,28630.0,42068.0
