Date,Product_ID,Portfolio_ID,Transaction_Type,Units,Cumulative_Quantity
2025-01-21,1009079,4368,BUY,64.0,64.0
2021-06-30,1009079,4379,BUY,340357.0,340357.0
2025-01-21,1009079,4379,BUY,118986.0,459343.0
2021-06-29,1009079,4383,BUY,340357.0,340357.0
2025-03-26,1009079,4383,SELL,340357.0,0.0
2025-03-26,1009080,4376,BUY,6.0,6.0
2021-06-29,1009080,4383,BUY,87489.0,87489.0
2025-03-26,1009080,4383,BUY,344295.0,431784.0
2025-01-21,1009082,4368,BUY,4.0,4.0
2025-03-26,1009082,4376,BUY,2.0,2.0
2021-06-30,1009082,4379,BUY,17461.0,17461.0
2025-01-21,1009082,4379,BUY,11224.0,28685.0
2021-06-29,1009082,4383,BUY,17461.0,17461.0
2025-03-26,1009082,4383,BUY,125932.0,143393.0
2021-06-30,1009083,4379,BUY,35509.0,35509.0
2021-07-15,1009083,4379,SELL,35509.0,0.0
2024-06-03,1009083,4379,BUY,27059.0,27059.0
2025-01-21,1009083,4379,SELL,27059.0,0.0
2021-06-29,1009083,4383,BUY,35509.0,35509.0
2022-07-15,1009083,4383,SELL,35509.0,0.0
2024-06-03,1009083,4383,BUY,27059.0,27059.0
2025-03-26,1009083,4383,SELL,27059.0,0.0
2021-06-29,1009084,4383,BUY,196712.0,196712.0
2025-03-26,1009084,4383,SELL,196712.0,0.0
2025-03-26,1009085,4376,BUY,27.0,27.0
2024-06-03,1009085,4379,BUY,440198.0,440198.0
2025-01-20,1009085,4379,SELL,440198.0,0.0
2024-06-03,1009085,4383,BUY,440198.0,440198.0
2025-03-26,1009085,4383,BUY,1501413.0,1941611.0
2021-06-29,1009087,4383,BUY,36259.0,36259.0
2022-07-15,1009087,4383,SELL,36259.0,0.0
2025-01-21,1009090,4368,BUY,18.0,18.0
2022-10-18,1009090,4379,BUY,112172.0,112172.0
2025-01-21,1009090,4379,BUY,16023.0,128195.0
2022-10-18,1009090,4383,BUY,112172.0,112172.0
2025-03-26,1009090,4383,SELL,112172.0,0.0
2025-01-21,1009093,4368,BUY,25.0,25.0
2025-03-26,1009093,4376,BUY,4.0,4.0
2022-07-15,1009093,4379,BUY,344953.0,344953.0
2025-01-21,1009093,4379,SELL,344953.0,0.0
2022-07-15,1009093,4383,BUY,344953.0,344953.0
2025-03-26,1009093,4383,SELL,66616.0,278337.0
2025-03-26,1009096,4376,BUY,2.0,2.0
2025-03-26,1009096,4383,BUY,143434.0,143434.0
2021-06-29,1009097,4383,BUY,35368.0,35368.0
2024-05-02,1009097,4383,SELL,35368.0,0.0
2021-06-29,1009100,4383,BUY,25099.0,25099.0
2025-03-26,1009100,4383,SELL,25099.0,0.0
2025-03-26,1009101,4376,BUY,13.0,13.0
2025-03-26,1009101,4383,BUY,932319.0,932319.0
2025-01-21,1009103,4368,BUY,22.0,22.0
2025-01-21,1009103,4379,BUY,157326.0,157326.0
2019-01-15,1009152,4378,BUY,2598597.0,2598597.0
2020-02-04,1009152,4378,SELL,2598597.0,0.0
2017-02-28,1009156,4378,BUY,515020.0,515020.0
2017-05-02,1009156,4378,BUY,532765.0,1047785.0
2017-09-01,1009156,4378,SELL,515020.0,532765.0
2017-09-01,1009156,4378,SELL,532765.0,0.0
2017-02-28,1009157,4378,BUY,1668320.0,1668320.0
2018-02-28,1009157,4378,SELL,1668320.0,0.0
2019-09-16,1009157,4378,BUY,2255228.0,2255228.0
2019-10-15,1009157,4378,BUY,1664269.0,3919497.0
2020-07-01,1009157,4378,SELL,1664269.0,2255228.0
2021-06-15,1009157,4378,BUY,1217448.0,3472676.0
2023-03-31,1009157,4378,SELL,3472676.0,0.0
2023-04-01,1009157,4378,BUY,2984593.0,2984593.0
2025-01-20,1009157,4378,SELL,2984593.0,0.0
2023-04-01,1009157,4381,BUY,1217448.0,1217448.0
2025-01-20,1009157,4381,SELL,1217448.0,0.0
2023-04-01,1009157,4385,BUY,1217448.0,1217448.0
2025-01-20,1009157,4385,SELL,1217448.0,0.0
2018-04-16,1009158,4378,BUY,975786.0,975786.0
2018-09-17,1009158,4378,SELL,975786.0,0.0
2025-01-20,1009161,4375,BUY,2000.0,2000.0
2017-02-28,1009161,4378,BUY,2677923.0,2677923.0
2017-05-15,1009161,4378,SELL,2677923.0,0.0
2021-02-01,1009161,4378,BUY,6979520.0,6979520.0
