Ticker,Name,Dividend_1_Date,Dividend_1_Amount,Dividend_2_Date,Dividend_2_Amount,Dividend_3_Date,Dividend_3_Amount,Dividend_4_Date,Dividend_4_Amount,Dividend_5_Date,Dividend_5_Amount,Dividend_6_Date,Dividend_6_Amount,Standardized_Name
005490.KS,POSCO Holdings,2024-02-28,2500.0,2024-03-28,2500.0,2024-06-27,2500.0,2024-09-27,2500.0,2025-02-27,2500.0,2025-05-27,2500.0,VIPSHOP HOLDINGS (NEEDS REVIEW)
035720.KS,Kakao,2024-02-28,61.0,2025-03-07,68.0,,,,,,,,,KAKAO CORP (NEEDS REVIEW)
066570.KS,LGELECTRONICS,2024-06-27,500.0,2025-03-28,500.0,,,,,,,,,LG ELECTRONICS INC (NEEDS REVIEW)
035420.KS,NAVER,2025-02-27,1130.0,,,,,,,,,,,NAVER CORP (NEEDS REVIEW)
000660.KS,SK hynix,2024-03-28,300.0,2024-06-27,300.0,2024-09-27,300.0,2025-05-29,375.0,,,,,SK HYNIX INC (NEEDS REVIEW)
069620.KS,DAEWOONG PHARM,2024-12-27,600.0,,,,,,,,,,,Daewoong Pharmaceutical Co Ltd (NEEDS REVIEW)
000270.KS,KIA CORP.,2024-03-19,5600.0,2025-03-18,6500.0,,,,,,,,,KT CORP (NEEDS REVIEW)
005380.KS,HyundaiMtr,2024-02-28,8400.0,2024-03-28,2000.0,2024-06-27,2000.0,2024-09-27,2000.0,2025-02-27,6000.0,2025-05-29,2500.0,HYUNDAI MOTOR (NEEDS REVIEW)
023530.KS,LOTTE SHOPPING,2025-03-28,3800.0,,,,,,,,,,,LOTTE SHOPPING LTD (NEEDS REVIEW)
0857.HK,PETROCHINA,2024-06-18,0.2529,2024-09-11,0.2403,,,,,,,,,PetroChina Co. Ltd. (NEEDS REVIEW)
0066.HK,MTR CORPORATION,2024-05-24,0.89,2024-08-28,0.42,2025-05-23,0.89,,,,,,,S-1 CORPORATION (NEEDS REVIEW)
0005.HK,HSBC HOLDINGS,2024-03-07,2.4264,2024-05-09,1.6394,2024-08-15,0.7791,2024-11-07,0.7773,2025-03-06,2.791,2025-05-08,0.7849,HSBC Holdings PLC (NEEDS REVIEW)
3888.HK,KINGSOFT,2024-05-31,0.14,,,,,,,,,,,KINGSOFT CORP LTD (NEEDS REVIEW)
2883.HK,CHINA OILFIELD,2024-06-07,0.2306,,,,,,,,,,,CHINA OILFIELD SERVICES-H (NEEDS REVIEW)
2318.HK,PING AN,2024-06-07,1.6468,2025-05-15,1.7627,,,,,,,,,Amgen Inc (NEEDS REVIEW)
0019.HK,SWIRE PACIFIC A,2024-04-10,2.0,2024-09-11,1.25,2025-04-09,2.1,,,,,,,SWIRE PACIFIC LTD - CL A (NEEDS REVIEW)
1303.TW,NAN YA PLASTIC,2024-07-17,0.7,,,,,,,,,,,NAN YA PLASTICS CORP. (NEEDS REVIEW)
1301.TW,FORMOSA PLASTIC,2024-07-23,1.0,,,,,,,,,,,FORMOSA PLASTICS CORP (NEEDS REVIEW)
1109.HK,CHINA RES LAND,2024-06-12,1.366,2024-09-09,0.219,,,,,,,,,CHINA RESOURCES LAND LTD (NEEDS REVIEW)
2303.TW,UNITED MICRO ELECTRONICS,2024-07-02,3.0001,,,,,,,,,,,LG ELECTRONICS INC (NEEDS REVIEW)
2628.HK,CHINA LIFE,2024-07-03,0.4713,,,,,,,,,,,China Mobile Limited (NEEDS REVIEW)
0762.HK,CHINA UNICOM,2024-06-05,0.1467,2024-09-04,0.2704,,,,,,,,,Cigna Corp (NEEDS REVIEW)
0728.HK,CHINA TELECOM,2024-06-05,0.0988,2024-09-03,0.1823,,,,,,,,,CHINA TELECOM CORP LTD-H (NEEDS REVIEW)
2388.HK,BOC HONG KONG,2024-07-02,1.145,2024-09-12,0.57,2025-05-14,0.29,,,,,,,BOC HONG KONG HOLDINGS LTD (NEEDS REVIEW)
0001.HK,CKH HOLDINGS,2024-05-28,1.775,2024-09-13,0.688,2025-05-27,1.514,,,,,,,CHINA COSCO HOLDINGS-H (NEEDS REVIEW)
0017.HK,NEW WORLD DEV,2024-03-20,0.2,,,,,,,,,,,NEW WORLD DEVELOPMENT (NEEDS REVIEW)
0006.HK,POWER ASSETS,2024-05-27,2.04,2024-09-11,0.78,2025-05-26,2.04,,,,,,,POWER ASSETS HOLDINGS LTD (NEEDS REVIEW)
3481.TW,INNOLUX CORPORATION,2024-08-15,1.2,2025-05-22,1.0,,,,,,,,,INNOLUX CORP (NEEDS REVIEW)
2474.TW,CATCHER TECHNOLOGY,2024-07-04,5.0,2024-12-10,7.5,,,,,,,,,CATCHER TECHNOLOGY CO LTD (NEEDS REVIEW)
0696.HK,TRAVELSKY TECH,2024-06-26,0.1756,,,,,,,,,,,TRAVELSKY TECHNOLOGY LTD-H (NEEDS REVIEW)
0386.HK,SINOPEC CORP,2024-07-08,0.2194,2024-09-05,0.1593,,,,,,,,,Intel Corp (NEEDS REVIEW)
0966.HK,CHINA TAIPING,2024-07-10,0.3,,,,,,,,,,,CHINA TAIPING INSURANCE HOLD (NEEDS REVIEW)
2338.HK,WEICHAI POWER,2024-05-31,0.3225,2024-09-20,0.4061,,,,,,,,,WEICHAI POWER CO LTD-H (NEEDS REVIEW)
4938.TW,PEGATRON CORPORATION,2024-06-27,4.0006,,,,,,,,,,,PEGATRON CORP (NEEDS REVIEW)
1186.HK,CHINA RAIL CONS,2024-07-15,0.3842,,,,,,,,,,,China Life Insurance Co. Ltd. (NEEDS REVIEW)
3008.TW,LARGAN PRECISION CO,2024-03-21,41.0,2024-08-15,40.0,2025-03-20,57.5,,,,,,,LARGAN PRECISION LTD (NEEDS REVIEW)
0135.HK,KUNLUN ENERGY,2024-06-03,0.3048,2024-09-09,0.1769,,,,,,,,,Kunlun Energy Co Ltd (NEEDS REVIEW)
2020.HK,ANTA SPORTS,2024-05-13,1.15,2024-09-09,1.18,2025-05-12,1.18,,,,,,,ANTA SPORTS PRODUCTS LTD. (NEEDS REVIEW)
0390.HK,CHINA RAILWAY,2024-07-17,0.2301,,,,,,,,,,,CHINA RAILWAY GROUP LTD H (NEEDS REVIEW)
3968.HK,CM BANK,2024-07-03,2.162,,,,,,,,,,,M&T Bank Corp (NEEDS REVIEW)
0941.HK,CHINA MOBILE,2024-06-06,2.4,2024-09-02,2.6,,,,,,,,,China Mobile Limited (NEEDS REVIEW)
1800.HK,CHINA COMM CONS,2024-06-19,0.3226,2024-12-03,0.1535,,,,,,,,,CHINA COMMUNICATIONS CONST-H (NEEDS REVIEW)
0883.HK,CNOOC,2024-06-13,0.66,2024-09-12,0.74,,,,,,,,,CNOOC Ltd (NEEDS REVIEW)
1038.HK,CKI HOLDINGS,2024-05-27,1.85,2024-09-12,0.72,2025-05-26,1.86,,,,,,,CHINA COSCO HOLDINGS-H (NEEDS REVIEW)
2357.HK,AVICHINA,2024-05-29,0.0967,2025-05-22,0.0884,,,,,,,,,AIR CHINA LTD-H (NEEDS REVIEW)
0552.HK,CHINACOMSERVICE,2024-06-28,0.2386,,,,,,,,,,,ServiceNow Inc  (NEEDS REVIEW)
0992.HK,LENOVO GROUP,2024-07-31,0.3,2024-11-27,0.085,,,,,,,,,LENOVO GROUP LTD (NEEDS REVIEW)
0659.HK,CTF SERVICES,2024-03-08,1.79,2024-11-26,0.35,2025-03-19,0.3,,,,,,,ServiceNow Inc  (NEEDS REVIEW)
3328.HK,BANKCOMM,2024-07-02,0.4111,2025-01-16,0.1967,2025-04-11,0.2151,,,,,,,M&T Bank Corp (NEEDS REVIEW)
1199.HK,COSCO SHIP PORT,2024-04-15,0.155,2024-09-11,0.122,2025-04-03,0.142,,,,,,,COSCO SHIPPING Ports Ltd (NEEDS REVIEW)
1088.HK,CHINA SHENHUA,2024-06-27,2.491,,,,,,,,,,,CHINA SHENHUA ENERGY CO-H (NEEDS REVIEW)
3311.HK,CHINA STATE CON,2024-06-17,0.285,2024-09-16,0.33,,,,,,,,,CHINA TELECOM CORP LTD-H (NEEDS REVIEW)
0101.HK,HANG LUNG PPT,2024-05-08,0.6,2024-08-14,0.12,2025-05-07,0.4,,,,,,,HANG LUNG PROPERTIES LTD (NEEDS REVIEW)
0586.HK,CONCH VENTURE,2024-07-04,0.2,2024-10-17,0.1,,,,,,,,,Accenture PLC (NEEDS REVIEW)
1919.HK,COSCO SHIP HOLD,2024-05-31,0.2526,2024-10-08,0.5691,2025-05-30,1.122,,,,,,,CHINA COSCO HOLDINGS-H (NEEDS REVIEW)
2883.TW,KGI FINANCIAL HOLDING CO LTD,2024-07-01,0.5006,,,,,,,,,,,YUANTA FINANCIAL HOLDING CO. LTD. (NEEDS REVIEW)
VIPS,Vipshop Holdings Limited,2024-03-14,0.43,,,,,,,,,,,VIPSHOP HOLDINGS (NEEDS REVIEW)
2238.HK,GAC GROUP,2024-06-03,0.1099,2024-09-12,0.0328,,,,,,,,,AIA Group Ltd (NEEDS REVIEW)
0004.HK,WHARF HOLDINGS,2024-04-09,0.2,2024-08-27,0.2,2025-04-03,0.2,,,,,,,WHARF HOLDINGS LTD (NEEDS REVIEW)
0817.HK,CHINA JINMAO,2024-09-13,0.03,,,,,,,,,,,CHINA JINMAO HOLDINGS GROUP (NEEDS REVIEW)
0012.HK,HENDERSON LAND,2024-06-05,1.3,2024-09-03,0.5,,,,,,,,,HENDERSON LAND DEVELOPMENT (NEEDS REVIEW)
MSFT,Microsoft Corporation,2024-02-14,0.75,2024-05-15,0.75,2024-08-15,0.75,2024-11-21,0.83,2025-02-20,0.83,2025-05-15,0.83,Microsoft Corp (NEEDS REVIEW)
AVGO,Broadcom Inc.,2024-03-20,0.525,2024-06-24,0.525,2024-09-19,0.53,2024-12-23,0.59,2025-03-20,0.59,,,Broadcom Ltd (NEEDS REVIEW)
CMCSA,Comcast Corporation,2024-01-02,0.29,2024-04-02,0.31,2024-07-03,0.31,2024-10-02,0.31,2025-01-08,0.31,2025-04-02,0.33,Cigna Corporation (NEEDS REVIEW)
DIS,Walt Disney Company (The),2024-07-08,0.45,2024-12-16,0.5,,,,,,,,,Walt Disney Co/The (NEEDS REVIEW)
