product_id,product_name
1009079,Apple Inc
1009080,Exxon Mobil Corp
1009082,Microsoft Corp
1009083,International Business Machines Corp
1009084,General Electric Co
1009085,AT&T Inc
1009087,Procter & Gamble Co/The
1009090,Pfizer Inc
1009093,Alphabet Inc
1009096,JPMorgan Chase & Co
1009097,Wal-Mart Stores Inc
1009100,3M Co
1009101,Cisco Systems Inc
1009103,Walt Disney Co/The
1009152,"Bank of Communications Co., Ltd."
1009156,China Life Insurance Co. Ltd.
1009157,China Unicom (Hong Kong) Limited
1009158,CNOOC Ltd
1009161,PetroChina Co. Ltd.
1009162,Industrial and Commercial Bank of China Limited
1009164,China Petroleum & Chemical Corp
1009166,China Mobile Limited
1009169,HSBC Holdings PLC
1009174,Cheung Kong (Holdings) Limited
1009238,Wells Fargo & Co
1009467,China Construction Bank Corporation
1009490,American International Group Inc
1009493,"Baidu, Inc"
1009498,McDonald's Corp
1012080,Cash in USD
1012089,Cash in HKD
1012332,"Celltrion, Inc."
1012334,Chesapeake Energy Corp
1012338,AIA Group Ltd
1012339,Ping An Insurance (Grp) Co of China Ltd
1012342,"Meta Platforms, Inc."
1012343,Air Products & Chemicals Inc
1012346,YY Inc
1045647,Corning Inc
1045649,Amazon.com Inc
1045652,Alphabet Inc. Class C
1045654,Netflix Inc
1045655,salesforce.com Inc
1045656,Visa Inc
1045659,Adobe Systems Inc
1045662,Accenture PLC
1045663,"Motorola Solutions, Inc."
1045664,Analog Devices Inc
1045666,Intel Corp
1045667,F5 Networks Inc
1045669,Oracle Corp
1045670,QUALCOMM Inc
1045672,HP Inc
1045677,Alibaba Group Holding Ltd
1045682,Verizon Communications Inc
1045683,Chevron Corp
1045684,Home Depot Inc/The
1045686,Comcast Corp
1045687,Bank of America Corp
1045688,Gilead Sciences Inc
1045689,Altria Group Inc
1045691,CVS Health Corp
1045692,Amgen Inc
1045694,Medtronic PLC
1045697,Mastercard Inc
1045698,AbbVie Inc
1045701,Honeywell International Inc
1045707,Union Pacific Corp
1045709,Eli Lilly & Co
1045713,Colgate-Palmolive Co
1045714,Simon Property Group Inc
1045715,Goldman Sachs Group Inc/The
1045716,Abbott Laboratories
