Ticker,Name,Dividend_1_Date,Dividend_1_Amount,Dividend_2_Date,Dividend_2_Amount,Dividend_3_Date,Dividend_3_Amount,Dividend_4_Date,Dividend_4_Amount,Dividend_5_Date,Dividend_5_Amount,Dividend_6_Date,Dividend_6_Amount,Standardized_Name
005490.KS,POSCO Holdings,2024-02-28,2500.0,2024-03-28,2500.0,2024-06-27,2500.0,2024-09-27,2500.0,2025-02-27,2500.0,2025-05-27,2500.0,POSCO
035720.KS,Kakao,2024-02-28,61.0,2025-03-07,68.0,,,,,,,,,KAKAO CORP
066570.KS,LGELECTRONICS,2024-06-27,500.0,2025-03-28,500.0,,,,,,,,,LG ELECTRONICS INC
035420.KS,NAVER,2025-02-27,1130.0,,,,,,,,,,,NAVER CORP
027410.KS,BGF,2025-02-27,130.0,,,,,,,,,,,BGF
000660.KS,SK hynix,2024-03-28,300.0,2024-06-27,300.0,2024-09-27,300.0,2025-05-29,375.0,,,,,SK HYNIX INC
004020.KS,HYUNDAI STEEL,2024-03-28,1000.0,2025-03-27,750.0,,,,,,,,,HYUNDAI STEEL
069620.KS,DAEWOONG PHARM,2024-12-27,600.0,,,,,,,,,,,Daewoong Pharmaceutical Co Ltd
000270.KS,KIA CORP.,2024-03-19,5600.0,2025-03-18,6500.0,,,,,,,,,KIA MOTORS CORP
005380.KS,HyundaiMtr,2024-02-28,8400.0,2024-03-28,2000.0,2024-06-27,2000.0,2024-09-27,2000.0,2025-02-27,6000.0,2025-05-29,2500.0,HYUNDAI MOTOR
023530.KS,LOTTE SHOPPING,2025-03-28,3800.0,,,,,,,,,,,LOTTE SHOPPING LTD
9999.HK,NTES-S,2024-03-13,1.6951,2024-06-05,0.777,2024-09-05,0.6829,2024-11-28,0.6829,2025-03-05,1.9155,2025-05-29,1.0596,NTES-S
9988.HK,BABA-W,2024-06-12,0.9811,,,,,,,,,,,BABA-W
9618.HK,JD-SW,2024-04-03,2.9827,2025-04-07,3.9245,,,,,,,,,JD-SW
0857.HK,PETROCHINA,2024-06-18,0.2529,2024-09-11,0.2403,,,,,,,,,PetroChina Co. Ltd.
0763.HK,ZTE,2024-07-04,0.7485,,,,,,,,,,,ZTE
6886.HK,HTSC,2024-07-03,0.472,2024-09-12,0.1642,,,,,,,,,HTSC
0066.HK,MTR CORPORATION,2024-05-24,0.89,2024-08-28,0.42,2025-05-23,0.89,,,,,,,MTR CORP
6239.TW,POWERTECH TECHNOLOGY INC,2024-08-01,7.0,,,,,,,,,,,POWERTECH TECHNOLOGY INC
