TRANSACTION_ID,TRANSACTION_TYPE,PRODUCT_ID,TYPE,T_DATE,UNIT,PRICE,COMMISSION,STATUS,NOTES,ADDENUM,UPDATE_DATE,PORTFOLIO_ID,CASH_ACCOUNT,,,
188620,CASH,1046921,BUY,3/30/2020 16:00,9907748175,1,0,CONFIRMED,INITIAL CASH,NULL,7/13/2020 4:19,4227,KRW,,,
188621,INVESTMENT,1046234,BUY,3/31/2020 4:43,1151,43000,0,CONFIRMED,,NULL,7/13/2020 8:29,4227,KRW,,,
188622,CASH,1046921,SELL,3/31/2020 4:43,49493000,1,0,CONFIRMED,CASH TRANSACTION FOR 188621,NULL,7/13/2020 8:29,4227,KRW,,,
188623,INVESTMENT,1046627,BUY,3/31/2020 4:46,1515,34750,0,CONFIRMED,,NULL,7/13/2020 8:29,4227,KRW,,,
188624,CASH,1046921,SELL,3/31/2020 4:46,52646250,1,0,CONFIRMED,CASH TRANSACTION FOR 188623,NULL,7/13/2020 8:29,4227,KRW,,,
188625,INVESTMENT,1046149,BUY,3/31/2020 4:47,1716,28600,0,CONFIRMED,,NULL,7/13/2020 8:29,4227,KRW,,,
188626,CASH,1046921,SELL,3/31/2020 4:47,49077600,1,0,CONFIRMED,CASH TRANSACTION FOR 188625,NULL,7/13/2020 8:29,4227,KRW,,,
188627,INVESTMENT,1046735,BUY,3/31/2020 4:48,11373,4435,0,CONFIRMED,,NULL,7/13/2020 8:29,4227,KRW,,,
188628,CASH,1046921,SELL,3/31/2020 4:48,50439255,1,0,CONFIRMED,CASH TRANSACTION FOR 188627,NULL,7/13/2020 8:29,4227,KRW,,,
188629,INVESTMENT,1046370,BUY,3/31/2020 4:49,1703,29350,0,CONFIRMED,,NULL,7/13/2020 8:29,4227,KRW,,,
188630,CASH,1046921,SELL,3/31/2020 4:49,49983050,1,0,CONFIRMED,CASH TRANSACTION FOR 188629,NULL,7/13/2020 8:29,4227,KRW,,,
188631,INVESTMENT,1046454,BUY,3/31/2020 4:50,1671,29900,0,CONFIRMED,,NULL,7/13/2020 8:29,4227,KRW,,,
188632,CASH,1046921,SELL,3/31/2020 4:50,49962900,1,0,CONFIRMED,CASH TRANSACTION FOR 188631,NULL,7/13/2020 8:29,4227,KRW,,,
188633,INVESTMENT,1046569,BUY,3/31/2020 4:52,100648,4550,0,CONFIRMED,,NULL,7/13/2020 8:29,4227,KRW,,,
188634,CASH,1046921,SELL,3/31/2020 4:52,457948400,1,0,CONFIRMED,CASH TRANSACTION FOR 188633,NULL,7/13/2020 8:29,4227,KRW,,,
188635,INVESTMENT,1046159,BUY,3/31/2020 4:53,306,161000,0,CONFIRMED,,NULL,7/13/2020 8:29,4227,KRW,,,
188636,CASH,1046921,SELL,3/31/2020 4:53,49266000,1,0,CONFIRMED,CASH TRANSACTION FOR 188635,NULL,7/13/2020 8:29,4227,KRW,,,
188637,INVESTMENT,1046309,BUY,3/31/2020 4:54,145,356000,0,CONFIRMED,,NULL,7/13/2020 8:29,4227,KRW,,,
188638,CASH,1046921,SELL,3/31/2020 4:54,51620000,1,0,CONFIRMED,CASH TRANSACTION FOR 188637,NULL,7/13/2020 8:29,4227,KRW,,,
188639,INVESTMENT,1046614,BUY,3/31/2020 4:55,1031,57100,0,CONFIRMED,,NULL,7/13/2020 8:29,4227,KRW,,,
