Ticker,Name,Dividend_1_Date,Dividend_1_Amount,Dividend_2_Date,Dividend_2_Amount,Dividend_3_Date,Dividend_3_Amount,Dividend_4_Date,Dividend_4_Amount,Dividend_5_Date,Dividend_5_Amount,Dividend_6_Date,Dividend_6_Amount,Standardized_Name
027410.KS,BGF,2025-02-27,130.0,,,,,,,,,,,BGF
004020.KS,HYUNDAI STEEL,2024-03-28,1000.0,2025-03-27,750.0,,,,,,,,,HYUNDAI STEEL
9999.HK,NTES-S,2024-03-13,1.6951,2024-06-05,0.777,2024-09-05,0.6829,2024-11-28,0.6829,2025-03-05,1.9155,2025-05-29,1.0596,NTES-S
9988.HK,BABA-W,2024-06-12,0.9811,,,,,,,,,,,BABA-W
9618.HK,JD-SW,2024-04-03,2.9827,2025-04-07,3.9245,,,,,,,,,JD-SW
0763.HK,ZTE,2024-07-04,0.7485,,,,,,,,,,,ZTE
6886.HK,HTSC,2024-07-03,0.472,2024-09-12,0.1642,,,,,,,,,HTSC
6239.TW,POWERTECH TECHNOLOGY INC,2024-08-01,7.0,,,,,,,,,,,POWERTECH TECHNOLOGY INC
1766.HK,CRRC,2024-06-20,0.2196,,,,,,,,,,,CRRC
1398.HK,ICBC,2024-07-08,0.3357,2025-01-02,0.1553,,,,,,,,,ICBC
1299.HK,AIA,2024-05-29,1.1907,2024-09-09,0.445,2025-05-28,1.3098,,,,,,,AIA
2313.HK,SHENZHOU INTL,2024-06-05,1.08,2024-09-09,1.25,,,,,,,,,SHENZHOU INTL
1336.HK,NCI,2024-07-11,0.9316,2024-11-14,0.5895,,,,,,,,,NCI
6881.HK,CGS,2024-07-08,0.2411,2024-12-04,0.0909,,,,,,,,,CGS
0939.HK,CCB,2024-07-04,0.4384,2025-01-02,0.2131,2025-04-30,0.2218,,,,,,,CCB
0392.HK,BEIJING ENT,2024-06-11,0.67,2024-09-11,0.85,,,,,,,,,BEIJING ENT
NTES,"NetEase, Inc.",2024-03-13,1.08,2024-06-06,0.495,2024-09-06,0.435,2024-11-29,0.435,2025-03-06,1.22,2025-05-30,0.675,"NetEase, Inc."
2018.HK,AAC TECH,2024-05-27,0.1,2025-05-26,0.24,,,,,,,,,AAC TECH
0016.HK,SHK PPT,2024-03-12,0.95,2024-11-11,2.8,2025-03-12,0.95,,,,,,,SHK PPT
0700.HK,TENCENT,2024-05-17,3.4,2025-05-16,4.5,,,,,,,,,TENCENT
0823.HK,LINK REIT,2024-06-27,1.3257,2024-11-18,1.3489,,,,,,,,,LINK REIT
0175.HK,GEELY AUTO,2024-06-11,0.22,,,,,,,,,,,GEELY AUTO
JD,"JD.com, Inc.",2024-04-04,0.76,2025-04-08,1.0,,,,,,,,,"JD.com, Inc."
BABA,Alibaba Group Holding Limited,2024-06-13,1.66,,,,,,,,,,,Alibaba Group Holding Limited
2353.TW,ACER INC,2024-06-20,1.6,,,,,,,,,,,ACER INC
1972.HK,SWIREPROPERTIES,2024-04-02,0.72,2024-09-04,0.34,2025-04-01,0.76,,,,,,,SWIREPROPERTIES
2328.HK,PICC P&C,2024-07-05,0.5359,2024-10-31,0.2269,,,,,,,,,PICC P&C
2601.HK,CPIC,2024-06-12,1.1214,,,,,,,,,,,CPIC
2379.TW,REALTEK SEMICONDUCTOR CORP,2024-09-05,15.5,,,,,,,,,,,REALTEK SEMICONDUCTOR CORP
2834.TW,TAIWAN BUSINESS BANK,2024-08-08,0.2,,,,,,,,,,,TAIWAN BUSINESS BANK
1997.HK,WHARF REIC,2024-04-05,0.61,2024-08-23,0.64,2025-04-03,0.6,,,,,,,WHARF REIC
ABT,Abbott Laboratories,2024-01-11,0.55,2024-04-12,0.55,2024-07-15,0.55,2024-10-15,0.55,2025-01-15,0.59,2025-04-15,0.59,Abbott Laboratories
CHE,Chemed Corp,2024-02-23,0.4,2024-05-30,0.4,2024-08-12,0.5,2024-11-18,0.5,2025-02-24,0.5,2025-05-29,0.5,Chemed Corp
MSI,"Motorola Solutions, Inc.",2024-03-14,0.98,2024-06-14,0.98,2024-09-13,0.98,2024-12-13,1.09,2025-03-14,1.09,,,"Motorola Solutions, Inc."
034730.KS,SK,2024-03-29,3500.0,2024-08-13,1500.0,2025-03-31,5500.0,,,,,,,SK
009150.KS,SamsungElecMech,2024-12-27,1800.0,,,,,,,,,,,SamsungElecMech
012750.KS,S-1,2024-12-27,2700.0,,,,,,,,,,,S-1
000210.KS,DL,2024-12-27,1000.0,,,,,,,,,,,DL
055550.KS,ShinhanGroup,2024-02-22,525.0,2024-03-28,540.0,2024-06-27,540.0,2024-09-27,540.0,2025-02-20,540.0,2025-04-30,570.0,ShinhanGroup
024110.KS,IBK,2024-03-28,984.0,2025-03-28,1065.0,,,,,,,,,IBK
001060.KS,JWPHARMA,2024-12-27,450.0,,,,,,,,,,,JWPHARMA
006360.KS,GS E&C,2025-02-27,300.0,,,,,,,,,,,GS E&C
DFS,Discover Financial Services,2024-02-21,0.7,2024-05-22,0.7,2024-08-22,0.7,2024-11-21,0.7,2025-02-20,0.7,2025-05-23,0.7,Discover Financial Services
META,"Meta Platforms, Inc.",2024-02-21,0.5,2024-06-14,0.5,2024-09-16,0.5,2024-12-16,0.5,2025-03-14,0.525,,,"Meta Platforms, Inc."
MS,Morgan Stanley,2024-01-30,0.85,2024-04-29,0.85,2024-07-31,0.925,2024-10-31,0.925,2025-01-31,0.925,2025-04-30,0.925,Morgan Stanley
PBI,Pitney Bowes Inc.,2024-02-08,0.05,2024-05-22,0.05,2024-08-22,0.05,2024-11-18,0.05,2025-02-21,0.06,2025-05-19,0.07,Pitney Bowes Inc.
