Product_ID,Product_Name,Dividend_Date,Shares_Held,Dividend_per_Share,Total_Payment
1046159,POSCO,2024-02-28,306.0,2500.0,765000.0
1046159,POSCO,2024-03-28,306.0,2500.0,765000.0
1046159,POSCO,2024-06-27,306.0,2500.0,765000.0
1046159,POSCO,2024-09-27,306.0,2500.0,765000.0
1046159,POSCO,2025-02-27,306.0,2500.0,765000.0
1046159,POSCO,2025-05-27,5.0,2500.0,12500.0
1046319,KAKAO CORP,2024-02-28,10930.0,61.0,666730.0
1046319,KAKAO CORP,2025-03-07,10930.0,68.0,743240.0
1046257,LG ELECTRONICS INC,2024-06-27,655.0,500.0,327500.0
1046257,LG ELECTRONICS INC,2025-03-28,20.0,500.0,10000.0
1046143,NAVER CORP,2025-02-27,1885.0,1130.0,2130050.0
1046145,SK HYNIX INC,2024-03-28,836.0,300.0,250800.0
1046145,SK HYNIX INC,2024-06-27,836.0,300.0,250800.0
1046145,SK HYNIX INC,2024-09-27,836.0,300.0,250800.0
1046145,SK HYNIX INC,2025-05-29,7.0,375.0,2625.0
1046602,HYUNDAI STEEL,2024-03-28,1414.0,1000.0,1414000.0
1046602,HYUNDAI STEEL,2025-03-27,57.0,750.0,42750.0
1061608,Daewoong Pharmaceutical Co Ltd,2024-12-27,2162.0,600.0,1297200.0
1046173,KIA MOTORS CORP,2024-03-19,1732.0,5600.0,9699200.0
1046173,KIA MOTORS CORP,2025-03-18,1732.0,6500.0,11258000.0
1046141,HYUNDAI MOTOR,2024-02-28,0.0,8400.0,0.0
1046141,HYUNDAI MOTOR,2024-03-28,0.0,2000.0,0.0
1046141,HYUNDAI MOTOR,2024-06-27,279.0,2000.0,558000.0
1046141,HYUNDAI MOTOR,2024-09-27,279.0,2000.0,558000.0
1046141,HYUNDAI MOTOR,2025-02-27,279.0,6000.0,1674000.0
1046141,HYUNDAI MOTOR,2025-05-29,7.0,2500.0,17500.0
1046695,LOTTE SHOPPING LTD,2025-03-28,25.0,3800.0,95000.0
1009161,PetroChina Co. Ltd.,2024-06-18,6979520.0,0.2529,1765120.608
1009161,PetroChina Co. Ltd.,2024-09-11,6979520.0,0.2403,1677178.6560000002
1046201,MTR CORP,2024-05-24,232645.0,0.89,207054.05000000002
1046201,MTR CORP,2024-08-28,232645.0,0.42,97710.9
1046201,MTR CORP,2025-05-23,334173.0,0.89,297413.97000000003
1046439,POWERTECH TECHNOLOGY INC,2024-08-01,0.0,7.0,0.0
1009169,HSBC Holdings PLC,2024-03-07,258190.0,2.4264,626472.216
1009169,HSBC Holdings PLC,2024-05-09,0.0,1.6394,0.0
1009169,HSBC Holdings PLC,2024-08-15,0.0,0.7791,0.0
1009169,HSBC Holdings PLC,2024-11-07,0.0,0.7773,0.0
1009169,HSBC Holdings PLC,2025-03-06,265352.0,2.791,740597.432
1009169,HSBC Holdings PLC,2025-05-08,265352.0,0.7849,208274.78480000002
1046481,KINGSOFT CORP LTD,2024-05-31,0.0,0.14,0.0
1046633,YUANTA FINANCIAL HOLDING CO. LTD.,2024-06-27,0.0,1.0784,0.0
1046526,CHINA OILFIELD SERVICES-H,2024-06-07,0.0,0.2306,0.0
1046128,TAIWAN SEMICONDUCTOR MANUFAC,2024-03-18,0.0,3.4998,0.0
1046128,TAIWAN SEMICONDUCTOR MANUFAC,2024-06-13,0.0,3.4998,0.0
1046128,TAIWAN SEMICONDUCTOR MANUFAC,2024-09-12,736471.0,4.0001,2945957.6470999997
1046128,TAIWAN SEMICONDUCTOR MANUFAC,2025-03-18,421291.8081,4.5,1895813.13645
1012339,Ping An Insurance (Grp) Co of China Ltd,2024-06-07,0.0,1.6468,0.0
1012339,Ping An Insurance (Grp) Co of China Ltd,2025-05-15,331690.0,1.7627,584669.963
1046208,SWIRE PACIFIC LTD - CL A,2025-04-09,331690.0,2.1,696549.0
1046204,CHINA RESOURCES LAND LTD,2024-06-12,0.0,1.366,0.0
1046204,CHINA RESOURCES LAND LTD,2024-09-09,0.0,0.219,0.0
1046269,UNITED MICROELECTRONICS CORP,2024-07-02,50614508.524000004,3.0001,151848587.02285242
1046334,NEW CHINA LIFE INSURANCE (H),2024-07-03,0.0,0.4713,0.0
1101496,"NetEase, Inc.",2025-03-06,200.0,1.22,244.0
1101496,"NetEase, Inc.",2025-05-30,200.0,0.675,135.0
1009157,China Unicom (Hong Kong) Limited,2024-06-05,1217448.0,0.1467,178599.62159999998
1009157,China Unicom (Hong Kong) Limited,2024-09-04,1217448.0,0.2704,329197.93919999996
1046229,CHINA TELECOM CORP LTD-H,2024-06-05,2502236.0,0.0988,247220.9168
1046229,CHINA TELECOM CORP LTD-H,2024-09-03,2502236.0,0.1823,456157.62279999995
1046164,BOC HONG KONG HOLDINGS LTD,2024-07-02,0.0,1.145,0.0
