Product_ID,Product_Name,Dividend_Date,Shares_Held,Dividend_per_Share,Total_Payment
1046159,POSCO,2024-02-28,306.0,2500.0,765000.0
1046159,POSCO,2024-03-28,306.0,2500.0,765000.0
1046159,POSCO,2024-06-27,306.0,2500.0,765000.0
1046159,POSCO,2024-09-27,306.0,2500.0,765000.0
1046159,POSCO,2025-02-27,306.0,2500.0,765000.0
1046159,POSCO,2025-05-27,2021.0,2500.0,5052500.0
1046319,KAKAO CORP,2024-02-28,2186.0,61.0,133346.0
1046319,KAKAO CORP,2025-03-07,2186.0,68.0,148648.0
1046257,LG ELECTRONICS INC,2024-06-27,655.0,500.0,327500.0
1046257,LG ELECTRONICS INC,2025-03-28,8095.0,500.0,4047500.0
1046143,NAVER CORP,2025-02-27,1885.0,1130.0,2130050.0
1046145,SK HYNIX INC,2024-03-28,836.0,300.0,250800.0
1046145,SK HYNIX INC,2024-06-27,836.0,300.0,250800.0
1046145,SK HYNIX INC,2024-09-27,836.0,300.0,250800.0
1046145,SK HYNIX INC,2025-05-29,2823.0,375.0,1058625.0
1046602,HYUNDAI STEEL,2024-03-28,1414.0,1000.0,1414000.0
1046602,HYUNDAI STEEL,2025-03-27,23084.0,750.0,17313000.0
1061608,Daewoong Pharmaceutical Co Ltd,2024-12-27,2162.0,600.0,1297200.0
1046173,KIA MOTORS CORP,2024-03-19,1732.0,5600.0,9699200.0
1046173,KIA MOTORS CORP,2025-03-18,1732.0,6500.0,11258000.0
1046141,HYUNDAI MOTOR,2024-02-28,0.0,8400.0,0.0
1046141,HYUNDAI MOTOR,2024-03-28,0.0,2000.0,0.0
1046141,HYUNDAI MOTOR,2024-06-27,279.0,2000.0,558000.0
1046141,HYUNDAI MOTOR,2024-09-27,279.0,2000.0,558000.0
1046141,HYUNDAI MOTOR,2025-02-27,279.0,6000.0,1674000.0
1046141,HYUNDAI MOTOR,2025-05-29,2845.0,2500.0,7112500.0
1046695,LOTTE SHOPPING LTD,2025-03-28,10125.0,3800.0,38475000.0
1009161,PetroChina Co. Ltd.,2024-06-18,31069442.0,0.2529,7857461.881800001
1009161,PetroChina Co. Ltd.,2024-09-11,31069442.0,0.2403,7465986.9126
1046201,MTR CORP,2024-05-24,1035623.0,0.89,921704.47
1046201,MTR CORP,2024-08-28,1035623.0,0.42,434961.66
1046201,MTR CORP,2025-05-23,1475629.0,0.89,1313309.81
1046439,POWERTECH TECHNOLOGY INC,2024-08-01,0.0,7.0,0.0
1009169,HSBC Holdings PLC,2024-03-07,1149337.0,2.4264,2788751.2968
1009169,HSBC Holdings PLC,2024-05-09,0.0,1.6394,0.0
1009169,HSBC Holdings PLC,2024-08-15,0.0,0.7791,0.0
1009169,HSBC Holdings PLC,2024-11-07,0.0,0.7773,0.0
1009169,HSBC Holdings PLC,2025-03-06,1171660.0,2.791,3270103.06
1009169,HSBC Holdings PLC,2025-05-08,1171660.0,0.7849,919635.934
1046481,KINGSOFT CORP LTD,2024-05-31,0.0,0.14,0.0
1046633,YUANTA FINANCIAL HOLDING CO. LTD.,2024-06-27,0.0,1.0784,0.0
1046526,CHINA OILFIELD SERVICES-H,2024-06-07,0.0,0.2306,0.0
1046128,TAIWAN SEMICONDUCTOR MANUFAC,2024-03-18,0.0,3.4998,0.0
1046128,TAIWAN SEMICONDUCTOR MANUFAC,2024-06-13,0.0,3.4998,0.0
1046128,TAIWAN SEMICONDUCTOR MANUFAC,2024-09-12,1036584.8081,4.0001,4146442.8908808096
1046128,TAIWAN SEMICONDUCTOR MANUFAC,2025-03-18,1463233.8081,4.5,6584552.13645
1012339,Ping An Insurance (Grp) Co of China Ltd,2024-06-07,0.0,1.6468,0.0
1012339,Ping An Insurance (Grp) Co of China Ltd,2025-05-15,1464575.0,1.7627,2581606.3525
1046208,SWIRE PACIFIC LTD - CL A,2025-04-09,1464575.0,2.1,3075607.5
1046204,CHINA RESOURCES LAND LTD,2024-06-12,0.0,1.366,0.0
1046204,CHINA RESOURCES LAND LTD,2024-09-09,0.0,0.219,0.0
1046269,UNITED MICROELECTRONICS CORP,2024-07-02,13625364.524000004,3.0001,40877456.10845242
1046334,NEW CHINA LIFE INSURANCE (H),2024-07-03,0.0,0.4713,0.0
1101496,"NetEase, Inc.",2025-03-06,585830.0,1.22,714712.6
1101496,"NetEase, Inc.",2025-05-30,585830.0,0.675,395435.25
1009157,China Unicom (Hong Kong) Limited,2024-06-05,5419489.0,0.1467,795039.0363
1009157,China Unicom (Hong Kong) Limited,2024-09-04,5419489.0,0.2704,1465429.8255999999
1046229,CHINA TELECOM CORP LTD-H,2024-06-05,11138743.0,0.0988,1100507.8084
1046229,CHINA TELECOM CORP LTD-H,2024-09-03,11138743.0,0.1823,2030592.8488999999
1046164,BOC HONG KONG HOLDINGS LTD,2024-07-02,0.0,1.145,0.0
