Ticker,Date,Dividend,Currency
005490.KS,2025-02-27,2500.0,KRW
005490.KS,2025-05-27,2500.0,KRW
035720.KS,2025-03-07,68.0,KRW
066570.KS,2025-03-28,500.0,KRW
035420.KS,2025-02-27,1130.0,KRW
027410.KS,2025-02-27,130.0,KRW
000660.KS,2025-05-29,375.0,KRW
004020.KS,2025-03-27,750.0,KRW
000270.KS,2025-03-18,6500.0,KRW
005380.KS,2025-02-27,6000.0,KRW
005380.KS,2025-05-29,2500.0,KRW
023530.KS,2025-03-28,3800.0,KRW
9999.HK,2025-03-05,1.9155484,HKD
9999.HK,2025-05-29,1.059615,HKD
9618.HK,2025-04-07,3.924545,HKD
0066.HK,2025-05-23,0.89,HKD
0005.HK,2025-03-06,2.791007,HKD
0005.HK,2025-05-08,0.7849,HKD
2330.TW,2025-03-18,4.50002,TWD
2318.HK,2025-05-15,1.76266,HKD
0019.HK,2025-04-09,2.1,HKD
1398.HK,2025-01-02,0.155291,HKD
1299.HK,2025-05-28,1.3098,HKD
0939.HK,2025-01-02,0.213131,HKD
0939.HK,2025-04-30,0.221775,HKD
NTES,2025-03-06,1.22,USD
NTES,2025-05-30,0.675,USD
2018.HK,2025-05-26,0.24,HKD
2388.HK,2025-05-14,0.29,HKD
0001.HK,2025-05-27,1.514,HKD
0016.HK,2025-03-12,0.95,HKD
0006.HK,2025-05-26,2.04,HKD
3481.TW,2025-05-22,1.0,TWD
2301.TW,2025-03-20,2.506596,TWD
0700.HK,2025-05-16,4.5,HKD
JD,2025-04-08,1.0,USD
3008.TW,2025-03-20,57.5,TWD
2020.HK,2025-05-12,1.18,HKD
1038.HK,2025-05-26,1.86,HKD
1972.HK,2025-04-01,0.76,HKD
2357.HK,2025-05-22,0.0884277,HKD
0659.HK,2025-03-19,0.3,HKD
3328.HK,2025-01-16,0.196704,HKD
3328.HK,2025-04-11,0.21506488,HKD
1199.HK,2025-04-03,0.142,HKD
0101.HK,2025-05-07,0.4,HKD
1919.HK,2025-05-30,1.121958,HKD
0004.HK,2025-04-03,0.2,HKD
1997.HK,2025-04-03,0.6,HKD
AAPL,2025-02-10,0.25,USD
AAPL,2025-05-12,0.26,USD
MSFT,2025-02-20,0.83,USD
MSFT,2025-05-15,0.83,USD
ABT,2025-01-15,0.59,USD
ABT,2025-04-15,0.59,USD
PFE,2025-01-24,0.43,USD
PFE,2025-05-09,0.43,USD
MU,2025-03-31,0.115,USD
CHE,2025-02-24,0.5,USD
CHE,2025-05-29,0.5,USD
ADI,2025-03-04,0.99,USD
AMGN,2025-02-14,2.38,USD
AMGN,2025-05-16,2.38,USD
APD,2025-01-02,1.77,USD
APD,2025-04-01,1.79,USD
AVGO,2025-03-20,0.59,USD
CMCSA,2025-01-08,0.31,USD
CMCSA,2025-04-02,0.33,USD
DOW,2025-02-28,0.7,USD
DOW,2025-05-30,0.7,USD
EMR,2025-02-14,0.528,USD
EMR,2025-05-16,0.528,USD
GOOGL,2025-03-10,0.2,USD
HON,2025-02-28,1.13,USD
HON,2025-05-16,1.13,USD
LMT,2025-03-03,3.3,USD
MSI,2025-03-14,1.09,USD
ORCL,2025-01-10,0.4,USD
ORCL,2025-04-10,0.5,USD
